States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,50 ,43 , 57,60 ,51 , 69
Harare,... ,... , ...,65 ,55 , 76
Manicaland,... ,... , ...,75 ,64 , 87
Mashonaland Central,... ,... , ...,... ,... , ...
Mashonaland East,... ,... , ...,... ,... , ...
Mashonaland West,... ,... , ...,... ,... , ...
Masvingo,... ,... , ...,72 ,62 , 82
Matabeleland North,... ,... , ...,... ,... , ...
Matabeleland South,... ,... , ...,... ,... , ...
Midlands,... ,... , ...,61 ,53 , 69
National,... ,...,...,69 ,59,79
