States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,24 000 ,18 000 , 31 000,30 000 ,23 000 , 37 000,36 000 ,29 000 , 44 000,41 000 ,34 000 , 49 000,46 000 ,38 000 , 53 000,49 000 ,41 000 , 56 000,51 000 ,44 000 , 58 000,52 000 ,45 000 , 59 000,52 000 ,45 000 , 59 000,52 000 ,46 000 , 58 000,52 000 ,46 000 , 57 000,51 000 ,45 000 , 56 000,49 000 ,44 000 , 54 000,48 000 ,42 000 , 53 000,46 000 ,41 000 , 52 000,46 000 ,40 000 , 51 000,45 000 ,39 000 , 50 000,45 000 ,39 000 , 50 000,44 000 ,38 000 , 49 000,44 000 ,38 000 , 49 000,45 000 ,39 000 , 50 000,45 000 ,39 000 , 51 000,46 000 ,40 000 , 52 000,47 000 ,41 000 , 52 000,47 000 ,41 000 , 53 000,48 000 ,42 000 , 53 000,48 000 ,42 000 , 54 000,49 000 ,42 000 , 55 000,49 000 ,42 000 , 55 000,49 000 ,43 000 , 56 000
Harare,120 000 ,85 000 , 150 000,150 000 ,120 000 , 180 000,170 000 ,150 000 , 210 000,190 000 ,170 000 , 220 000,210 000 ,180 000 , 240 000,220 000 ,190 000 , 240 000,220 000 ,200 000 , 240 000,220 000 ,200 000 , 240 000,210 000 ,190 000 , 230 000,210 000 ,190 000 , 230 000,200 000 ,180 000 , 220 000,190 000 ,170 000 , 210 000,180 000 ,160 000 , 200 000,170 000 ,150 000 , 190 000,160 000 ,140 000 , 180 000,150 000 ,130 000 , 170 000,150 000 ,120 000 , 170 000,140 000 ,120 000 , 160 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,130 000 ,110 000 , 150 000,120 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,130 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000,120 000 ,110 000 , 140 000
Manicaland,35 000 ,25 000 , 45 000,45 000 ,35 000 , 57 000,55 000 ,45 000 , 68 000,64 000 ,54 000 , 77 000,72 000 ,61 000 , 84 000,79 000 ,67 000 , 90 000,84 000 ,73 000 , 95 000,87 000 ,77 000 , 98 000,90 000 ,79 000 , 100 000,91 000 ,79 000 , 100 000,90 000 ,78 000 , 100 000,89 000 ,77 000 , 100 000,88 000 ,75 000 , 98 000,85 000 ,72 000 , 95 000,83 000 ,69 000 , 93 000,80 000 ,66 000 , 91 000,78 000 ,65 000 , 88 000,76 000 ,64 000 , 87 000,76 000 ,64 000 , 86 000,75 000 ,64 000 , 85 000,77 000 ,66 000 , 87 000,78 000 ,66 000 , 87 000,78 000 ,68 000 , 87 000,79 000 ,69 000 , 88 000,80 000 ,70 000 , 90 000,81 000 ,70 000 , 90 000,82 000 ,71 000 , 92 000,82 000 ,71 000 , 93 000,83 000 ,72 000 , 94 000,83 000 ,72 000 , 95 000
Mashonaland Central,29 000 ,18 000 , 41 000,37 000 ,26 000 , 49 000,44 000 ,35 000 , 55 000,49 000 ,42 000 , 59 000,54 000 ,46 000 , 63 000,57 000 ,49 000 , 65 000,59 000 ,52 000 , 66 000,59 000 ,53 000 , 67 000,59 000 ,52 000 , 67 000,59 000 ,51 000 , 66 000,57 000 ,50 000 , 64 000,55 000 ,48 000 , 62 000,53 000 ,45 000 , 61 000,51 000 ,43 000 , 59 000,49 000 ,41 000 , 57 000,47 000 ,40 000 , 55 000,46 000 ,39 000 , 54 000,45 000 ,38 000 , 53 000,45 000 ,38 000 , 52 000,44 000 ,38 000 , 52 000,45 000 ,39 000 , 53 000,46 000 ,40 000 , 53 000,46 000 ,40 000 , 54 000,46 000 ,40 000 , 54 000,47 000 ,40 000 , 54 000,47 000 ,40 000 , 55 000,47 000 ,41 000 , 55 000,47 000 ,40 000 , 55 000,47 000 ,40 000 , 55 000,47 000 ,40 000 , 55 000
Mashonaland East,33 000 ,22 000 , 49 000,42 000 ,30 000 , 59 000,52 000 ,38 000 , 68 000,61 000 ,47 000 , 76 000,69 000 ,55 000 , 84 000,76 000 ,62 000 , 90 000,81 000 ,68 000 , 96 000,86 000 ,75 000 , 100 000,89 000 ,79 000 , 100 000,91 000 ,81 000 , 100 000,92 000 ,82 000 , 100 000,93 000 ,83 000 , 100 000,93 000 ,82 000 , 100 000,92 000 ,80 000 , 100 000,91 000 ,78 000 , 100 000,90 000 ,77 000 , 100 000,89 000 ,76 000 , 100 000,89 000 ,76 000 , 100 000,90 000 ,77 000 , 100 000,91 000 ,79 000 , 100 000,93 000 ,81 000 , 100 000,95 000 ,83 000 , 110 000,98 000 ,85 000 , 110 000,100 000 ,88 000 , 110 000,100 000 ,90 000 , 110 000,100 000 ,92 000 , 120 000,110 000 ,93 000 , 120 000,110 000 ,94 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,96 000 , 130 000
Mashonaland West,16 000 ,11 000 , 23 000,25 000 ,19 000 , 34 000,35 000 ,28 000 , 46 000,48 000 ,40 000 , 60 000,60 000 ,50 000 , 73 000,70 000 ,60 000 , 84 000,78 000 ,69 000 , 91 000,85 000 ,76 000 , 96 000,89 000 ,81 000 , 100 000,92 000 ,84 000 , 100 000,92 000 ,84 000 , 100 000,92 000 ,83 000 , 100 000,90 000 ,81 000 , 99 000,88 000 ,78 000 , 97 000,85 000 ,75 000 , 95 000,83 000 ,72 000 , 93 000,80 000 ,70 000 , 91 000,79 000 ,68 000 , 90 000,78 000 ,68 000 , 90 000,78 000 ,68 000 , 89 000,80 000 ,69 000 , 91 000,81 000 ,70 000 , 91 000,81 000 ,71 000 , 92 000,82 000 ,72 000 , 93 000,83 000 ,73 000 , 94 000,83 000 ,74 000 , 95 000,84 000 ,74 000 , 96 000,84 000 ,74 000 , 96 000,84 000 ,74 000 , 96 000,84 000 ,75 000 , 96 000
Masvingo,33 000 ,23 000 , 45 000,40 000 ,28 000 , 53 000,47 000 ,34 000 , 59 000,52 000 ,40 000 , 64 000,57 000 ,45 000 , 69 000,61 000 ,50 000 , 72 000,64 000 ,53 000 , 75 000,66 000 ,56 000 , 76 000,68 000 ,58 000 , 77 000,69 000 ,60 000 , 77 000,69 000 ,60 000 , 77 000,69 000 ,60 000 , 77 000,68 000 ,59 000 , 76 000,67 000 ,59 000 , 76 000,66 000 ,58 000 , 74 000,65 000 ,57 000 , 74 000,65 000 ,56 000 , 73 000,65 000 ,56 000 , 73 000,66 000 ,57 000 , 74 000,67 000 ,58 000 , 76 000,70 000 ,61 000 , 78 000,71 000 ,63 000 , 80 000,73 000 ,64 000 , 81 000,74 000 ,66 000 , 83 000,76 000 ,67 000 , 84 000,77 000 ,68 000 , 86 000,78 000 ,69 000 , 87 000,79 000 ,69 000 , 89 000,80 000 ,70 000 , 90 000,81 000 ,71 000 , 92 000
Matabeleland North,22 000 ,15 000 , 29 000,27 000 ,21 000 , 35 000,31 000 ,25 000 , 40 000,36 000 ,28 000 , 44 000,39 000 ,32 000 , 47 000,42 000 ,35 000 , 49 000,44 000 ,37 000 , 51 000,45 000 ,40 000 , 52 000,46 000 ,41 000 , 53 000,47 000 ,41 000 , 53 000,47 000 ,41 000 , 53 000,47 000 ,41 000 , 53 000,46 000 ,40 000 , 52 000,46 000 ,39 000 , 51 000,45 000 ,39 000 , 50 000,44 000 ,38 000 , 49 000,44 000 ,38 000 , 49 000,44 000 ,39 000 , 50 000,45 000 ,39 000 , 50 000,46 000 ,40 000 , 52 000,48 000 ,42 000 , 54 000,49 000 ,43 000 , 55 000,50 000 ,44 000 , 57 000,52 000 ,45 000 , 58 000,53 000 ,47 000 , 60 000,54 000 ,48 000 , 61 000,55 000 ,48 000 , 63 000,56 000 ,49 000 , 64 000,56 000 ,49 000 , 65 000,57 000 ,50 000 , 66 000
Matabeleland South,9200 ,6700 , 13 000,13 000 ,10 000 , 17 000,18 000 ,14 000 , 23 000,24 000 ,19 000 , 29 000,29 000 ,24 000 , 36 000,34 000 ,28 000 , 41 000,38 000 ,32 000 , 45 000,41 000 ,36 000 , 48 000,44 000 ,38 000 , 50 000,45 000 ,40 000 , 51 000,46 000 ,41 000 , 52 000,47 000 ,41 000 , 52 000,47 000 ,41 000 , 52 000,46 000 ,41 000 , 51 000,46 000 ,40 000 , 51 000,45 000 ,39 000 , 50 000,45 000 ,39 000 , 50 000,45 000 ,40 000 , 50 000,46 000 ,40 000 , 51 000,47 000 ,41 000 , 52 000,49 000 ,43 000 , 54 000,51 000 ,44 000 , 56 000,52 000 ,46 000 , 57 000,54 000 ,47 000 , 59 000,55 000 ,49 000 , 60 000,56 000 ,50 000 , 62 000,58 000 ,52 000 , 63 000,59 000 ,53 000 , 65 000,60 000 ,54 000 , 66 000,61 000 ,55 000 , 67 000
Midlands,37 000 ,29 000 , 44 000,46 000 ,39 000 , 54 000,55 000 ,47 000 , 63 000,63 000 ,54 000 , 71 000,70 000 ,62 000 , 79 000,75 000 ,66 000 , 85 000,79 000 ,71 000 , 89 000,82 000 ,74 000 , 93 000,84 000 ,76 000 , 95 000,86 000 ,77 000 , 97 000,85 000 ,77 000 , 96 000,84 000 ,75 000 , 94 000,82 000 ,72 000 , 92 000,80 000 ,70 000 , 90 000,78 000 ,67 000 , 87 000,76 000 ,65 000 , 84 000,74 000 ,63 000 , 82 000,73 000 ,62 000 , 82 000,72 000 ,62 000 , 81 000,73 000 ,64 000 , 82 000,75 000 ,65 000 , 84 000,78 000 ,68 000 , 88 000,82 000 ,71 000 , 92 000,85 000 ,75 000 , 95 000,89 000 ,78 000 , 100 000,93 000 ,82 000 , 100 000,96 000 ,85 000 , 110 000,99 000 ,87 000 , 110 000,100 000 ,89 000 , 110 000,110 000 ,91 000 , 120 000
