States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,29 000 ,22 000 , 40 000,35 000 ,27 000 , 47 000,40 000 ,33 000 , 52 000,44 000 ,36 000 , 55 000,47 000 ,39 000 , 57 000,49 000 ,41 000 , 57 000,49 000 ,42 000 , 57 000,49 000 ,42 000 , 56 000,49 000 ,41 000 , 54 000,47 000 ,40 000 , 53 000,46 000 ,40 000 , 51 000,44 000 ,38 000 , 49 000,42 000 ,36 000 , 47 000,40 000 ,34 000 , 45 000,38 000 ,33 000 , 44 000,38 000 ,32 000 , 42 000,36 000 ,31 000 , 41 000,35 000 ,30 000 , 40 000,35 000 ,29 000 , 39 000,34 000 ,29 000 , 39 000,34 000 ,29 000 , 39 000,35 000 ,29 000 , 39 000,35 000 ,30 000 , 39 000,35 000 ,30 000 , 40 000,35 000 ,30 000 , 40 000,36 000 ,31 000 , 40 000,36 000 ,31 000 , 41 000,36 000 ,31 000 , 41 000,36 000 ,31 000 , 41 000,36 000 ,31 000 , 42 000
Harare,130 000 ,94 000 , 170 000,150 000 ,120 000 , 200 000,170 000 ,140 000 , 210 000,190 000 ,160 000 , 230 000,190 000 ,170 000 , 230 000,200 000 ,170 000 , 230 000,200 000 ,170 000 , 220 000,190 000 ,170 000 , 220 000,180 000 ,160 000 , 210 000,180 000 ,150 000 , 200 000,170 000 ,140 000 , 190 000,160 000 ,130 000 , 180 000,140 000 ,120 000 , 170 000,130 000 ,110 000 , 150 000,130 000 ,100 000 , 150 000,120 000 ,96 000 , 140 000,110 000 ,91 000 , 130 000,100 000 ,86 000 , 120 000,99 000 ,82 000 , 120 000,95 000 ,79 000 , 110 000,91 000 ,76 000 , 110 000,89 000 ,75 000 , 110 000,88 000 ,74 000 , 100 000,86 000 ,73 000 , 100 000,86 000 ,73 000 , 99 000,85 000 ,72 000 , 98 000,85 000 ,72 000 , 97 000,84 000 ,72 000 , 96 000,83 000 ,72 000 , 96 000,82 000 ,70 000 , 96 000
Manicaland,40 000 ,29 000 , 52 000,49 000 ,38 000 , 62 000,57 000 ,46 000 , 69 000,64 000 ,53 000 , 76 000,69 000 ,59 000 , 81 000,73 000 ,62 000 , 84 000,76 000 ,66 000 , 87 000,77 000 ,67 000 , 88 000,78 000 ,67 000 , 87 000,77 000 ,66 000 , 86 000,75 000 ,64 000 , 84 000,73 000 ,60 000 , 81 000,70 000 ,58 000 , 78 000,67 000 ,55 000 , 75 000,64 000 ,52 000 , 72 000,61 000 ,50 000 , 70 000,58 000 ,48 000 , 67 000,57 000 ,47 000 , 65 000,56 000 ,47 000 , 63 000,55 000 ,46 000 , 62 000,54 000 ,46 000 , 61 000,54 000 ,46 000 , 62 000,55 000 ,47 000 , 62 000,55 000 ,47 000 , 62 000,55 000 ,47 000 , 62 000,55 000 ,47 000 , 62 000,56 000 ,47 000 , 63 000,56 000 ,47 000 , 63 000,56 000 ,48 000 , 64 000,56 000 ,48 000 , 64 000
Mashonaland Central,34 000 ,20 000 , 48 000,41 000 ,28 000 , 54 000,46 000 ,35 000 , 59 000,50 000 ,41 000 , 61 000,53 000 ,45 000 , 62 000,54 000 ,47 000 , 63 000,55 000 ,47 000 , 62 000,55 000 ,47 000 , 61 000,54 000 ,46 000 , 60 000,52 000 ,44 000 , 59 000,50 000 ,42 000 , 57 000,47 000 ,39 000 , 54 000,45 000 ,37 000 , 52 000,42 000 ,35 000 , 50 000,40 000 ,32 000 , 47 000,38 000 ,30 000 , 45 000,36 000 ,29 000 , 43 000,35 000 ,29 000 , 42 000,34 000 ,29 000 , 41 000,34 000 ,29 000 , 40 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 39 000,33 000 ,28 000 , 38 000,32 000 ,28 000 , 38 000,32 000 ,27 000 , 38 000
Mashonaland East,39 000 ,25 000 , 58 000,47 000 ,32 000 , 66 000,55 000 ,39 000 , 73 000,61 000 ,45 000 , 79 000,67 000 ,53 000 , 84 000,71 000 ,59 000 , 86 000,75 000 ,64 000 , 88 000,77 000 ,67 000 , 89 000,79 000 ,69 000 , 90 000,79 000 ,69 000 , 90 000,78 000 ,68 000 , 89 000,77 000 ,66 000 , 88 000,76 000 ,64 000 , 86 000,74 000 ,63 000 , 84 000,72 000 ,61 000 , 82 000,71 000 ,59 000 , 80 000,70 000 ,58 000 , 78 000,69 000 ,58 000 , 77 000,69 000 ,58 000 , 77 000,69 000 ,58 000 , 78 000,69 000 ,59 000 , 77 000,70 000 ,60 000 , 79 000,71 000 ,61 000 , 80 000,72 000 ,63 000 , 81 000,73 000 ,63 000 , 82 000,74 000 ,64 000 , 84 000,75 000 ,65 000 , 85 000,76 000 ,65 000 , 87 000,77 000 ,66 000 , 88 000,77 000 ,65 000 , 89 000
Mashonaland West,20 000 ,14 000 , 29 000,29 000 ,22 000 , 41 000,39 000 ,31 000 , 52 000,50 000 ,41 000 , 64 000,60 000 ,51 000 , 76 000,69 000 ,59 000 , 84 000,75 000 ,66 000 , 89 000,79 000 ,70 000 , 92 000,82 000 ,73 000 , 93 000,83 000 ,74 000 , 92 000,82 000 ,73 000 , 90 000,80 000 ,70 000 , 88 000,77 000 ,67 000 , 85 000,74 000 ,64 000 , 82 000,70 000 ,60 000 , 79 000,67 000 ,57 000 , 76 000,65 000 ,55 000 , 73 000,63 000 ,54 000 , 71 000,62 000 ,53 000 , 70 000,61 000 ,53 000 , 70 000,60 000 ,53 000 , 68 000,61 000 ,52 000 , 69 000,60 000 ,53 000 , 68 000,61 000 ,53 000 , 69 000,61 000 ,53 000 , 69 000,61 000 ,53 000 , 69 000,61 000 ,54 000 , 70 000,61 000 ,53 000 , 70 000,60 000 ,53 000 , 70 000,60 000 ,52 000 , 70 000
Masvingo,38 000 ,26 000 , 53 000,44 000 ,31 000 , 58 000,49 000 ,36 000 , 62 000,52 000 ,40 000 , 65 000,55 000 ,44 000 , 66 000,57 000 ,46 000 , 67 000,58 000 ,48 000 , 67 000,59 000 ,49 000 , 67 000,59 000 ,50 000 , 66 000,58 000 ,49 000 , 66 000,57 000 ,48 000 , 64 000,55 000 ,47 000 , 63 000,53 000 ,46 000 , 61 000,52 000 ,44 000 , 59 000,50 000 ,43 000 , 57 000,49 000 ,42 000 , 56 000,48 000 ,41 000 , 54 000,48 000 ,41 000 , 55 000,48 000 ,41 000 , 55 000,49 000 ,42 000 , 55 000,49 000 ,42 000 , 55 000,50 000 ,43 000 , 56 000,50 000 ,44 000 , 57 000,51 000 ,44 000 , 58 000,52 000 ,45 000 , 58 000,53 000 ,46 000 , 60 000,53 000 ,46 000 , 61 000,54 000 ,47 000 , 61 000,54 000 ,47 000 , 62 000,55 000 ,48 000 , 63 000
Matabeleland North,24 000 ,17 000 , 32 000,28 000 ,21 000 , 36 000,31 000 ,25 000 , 40 000,34 000 ,28 000 , 42 000,36 000 ,30 000 , 44 000,38 000 ,32 000 , 45 000,38 000 ,33 000 , 45 000,39 000 ,34 000 , 45 000,39 000 ,34 000 , 45 000,39 000 ,33 000 , 45 000,38 000 ,33 000 , 44 000,37 000 ,32 000 , 42 000,36 000 ,31 000 , 41 000,35 000 ,30 000 , 39 000,34 000 ,29 000 , 38 000,33 000 ,28 000 , 37 000,32 000 ,28 000 , 36 000,32 000 ,28 000 , 36 000,32 000 ,28 000 , 37 000,33 000 ,28 000 , 38 000,33 000 ,28 000 , 37 000,34 000 ,29 000 , 38 000,34 000 ,29 000 , 39 000,35 000 ,30 000 , 40 000,35 000 ,31 000 , 40 000,36 000 ,31 000 , 41 000,37 000 ,32 000 , 42 000,37 000 ,32 000 , 43 000,37 000 ,32 000 , 43 000,38 000 ,33 000 , 44 000
Matabeleland South,12 000 ,8800 , 16 000,16 000 ,12 000 , 21 000,21 000 ,17 000 , 26 000,26 000 ,21 000 , 31 000,31 000 ,25 000 , 37 000,35 000 ,29 000 , 41 000,38 000 ,32 000 , 44 000,40 000 ,34 000 , 46 000,41 000 ,36 000 , 48 000,42 000 ,37 000 , 49 000,42 000 ,37 000 , 49 000,42 000 ,36 000 , 48 000,41 000 ,36 000 , 47 000,40 000 ,35 000 , 46 000,39 000 ,34 000 , 44 000,38 000 ,33 000 , 43 000,38 000 ,32 000 , 42 000,38 000 ,32 000 , 42 000,38 000 ,32 000 , 42 000,38 000 ,33 000 , 43 000,39 000 ,34 000 , 43 000,40 000 ,35 000 , 44 000,40 000 ,35 000 , 45 000,41 000 ,36 000 , 46 000,42 000 ,37 000 , 47 000,43 000 ,38 000 , 48 000,44 000 ,39 000 , 49 000,45 000 ,40 000 , 50 000,46 000 ,41 000 , 51 000,46 000 ,41 000 , 52 000
Midlands,44 000 ,35 000 , 51 000,51 000 ,43 000 , 60 000,58 000 ,50 000 , 68 000,64 000 ,55 000 , 74 000,68 000 ,59 000 , 78 000,71 000 ,62 000 , 80 000,73 000 ,64 000 , 82 000,74 000 ,65 000 , 83 000,74 000 ,65 000 , 83 000,73 000 ,65 000 , 82 000,71 000 ,62 000 , 80 000,68 000 ,59 000 , 77 000,65 000 ,56 000 , 74 000,62 000 ,53 000 , 70 000,59 000 ,51 000 , 67 000,56 000 ,48 000 , 63 000,54 000 ,46 000 , 61 000,52 000 ,45 000 , 59 000,51 000 ,44 000 , 58 000,52 000 ,45 000 , 58 000,53 000 ,46 000 , 60 000,55 000 ,48 000 , 62 000,57 000 ,50 000 , 65 000,60 000 ,52 000 , 68 000,62 000 ,55 000 , 71 000,65 000 ,57 000 , 73 000,67 000 ,59 000 , 76 000,69 000 ,60 000 , 79 000,71 000 ,62 000 , 81 000,73 000 ,63 000 , 83 000
