States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,7900 ,3600 , 12 000,9400 ,4100 , 15 000,11 000 ,4500 , 17 000,11 000 ,4700 , 17 000,12 000 ,4900 , 18 000,12 000 ,4900 , 18 000,12 000 ,4700 , 18 000,11 000 ,4400 , 17 000,10 000 ,4000 , 15 000,9700 ,3600 , 14 000,8900 ,3300 , 13 000,8200 ,3100 , 12 000,7600 ,2900 , 11 000,7100 ,2700 , 10 000,6700 ,2600 , 9900,6400 ,2500 , 9500,6100 ,2400 , 8900,5900 ,2400 , 8600,5700 ,2400 , 8500,5700 ,2500 , 8400,5600 ,2600 , 8300,5500 ,2700 , 8200,5400 ,2600 , 8000,5300 ,2600 , 7800,5100 ,2500 , 7500,4900 ,2500 , 7100,4600 ,2400 , 6600,4400 ,2400 , 6200,4100 ,2200 , 5700,3900 ,2200 , 5500
Harare,49 000 ,23 000 , 69 000,58 000 ,28 000 , 83 000,64 000 ,32 000 , 92 000,67 000 ,32 000 , 97 000,67 000 ,31 000 , 96 000,65 000 ,28 000 , 92 000,61 000 ,26 000 , 86 000,55 000 ,22 000 , 80 000,49 000 ,19 000 , 72 000,43 000 ,16 000 , 63 000,37 000 ,13 000 , 54 000,32 000 ,12 000 , 47 000,28 000 ,10 000 , 41 000,24 000 ,9100 , 36 000,22 000 ,8600 , 32 000,20 000 ,8200 , 30 000,19 000 ,8100 , 28 000,18 000 ,8100 , 27 000,17 000 ,8100 , 25 000,17 000 ,8100 , 24 000,16 000 ,8200 , 23 000,16 000 ,8400 , 23 000,15 000 ,8500 , 22 000,15 000 ,8500 , 21 000,14 000 ,8400 , 21 000,14 000 ,8200 , 20 000,13 000 ,7900 , 19 000,13 000 ,7500 , 18 000,12 000 ,7200 , 18 000,11 000 ,6800 , 17 000
Manicaland,13 000 ,6300 , 20 000,17 000 ,7600 , 24 000,19 000 ,8900 , 28 000,22 000 ,9900 , 31 000,23 000 ,10 000 , 34 000,24 000 ,11 000 , 36 000,25 000 ,10 000 , 36 000,24 000 ,10 000 , 36 000,24 000 ,9700 , 35 000,22 000 ,9200 , 34 000,21 000 ,8500 , 32 000,20 000 ,7700 , 29 000,18 000 ,7000 , 27 000,17 000 ,6500 , 25 000,16 000 ,6200 , 23 000,15 000 ,5900 , 22 000,14 000 ,5700 , 20 000,13 000 ,5500 , 19 000,12 000 ,5500 , 18 000,12 000 ,5500 , 17 000,12 000 ,5600 , 17 000,12 000 ,5600 , 17 000,11 000 ,5600 , 16 000,11 000 ,5600 , 16 000,11 000 ,5600 , 15 000,10 000 ,5500 , 15 000,10 000 ,5500 , 14 000,9700 ,5500 , 14 000,9300 ,5400 , 13 000,9000 ,5400 , 13 000
Mashonaland Central,11 000 ,5600 , 19 000,14 000 ,6600 , 21 000,15 000 ,7500 , 23 000,16 000 ,7500 , 24 000,17 000 ,7400 , 25 000,17 000 ,7000 , 25 000,16 000 ,6400 , 24 000,15 000 ,5900 , 23 000,14 000 ,5400 , 21 000,13 000 ,4900 , 19 000,12 000 ,4300 , 17 000,11 000 ,4000 , 16 000,9800 ,3700 , 14 000,9100 ,3400 , 13 000,8600 ,3300 , 12 000,8200 ,3400 , 12 000,8000 ,3400 , 11 000,7800 ,3500 , 11 000,7700 ,3600 , 11 000,7500 ,3700 , 11 000,7500 ,3800 , 11 000,7300 ,3900 , 10 000,7200 ,3900 , 10 000,7000 ,4000 , 9600,6800 ,3900 , 9200,6500 ,3800 , 8800,6200 ,3700 , 8400,5800 ,3500 , 7700,5400 ,3400 , 7300,5100 ,3200 , 6900
Mashonaland East,12 000 ,5500 , 20 000,15 000 ,6500 , 23 000,18 000 ,7600 , 27 000,20 000 ,8300 , 30 000,21 000 ,9200 , 32 000,22 000 ,9900 , 33 000,23 000 ,9800 , 33 000,23 000 ,9900 , 33 000,22 000 ,9400 , 32 000,22 000 ,9100 , 32 000,21 000 ,8800 , 31 000,20 000 ,8400 , 30 000,20 000 ,8000 , 29 000,19 000 ,7600 , 28 000,18 000 ,7500 , 27 000,18 000 ,7300 , 26 000,17 000 ,7400 , 25 000,17 000 ,7400 , 24 000,17 000 ,7400 , 24 000,17 000 ,7500 , 24 000,17 000 ,7700 , 24 000,16 000 ,7800 , 24 000,16 000 ,7800 , 23 000,16 000 ,7700 , 23 000,15 000 ,7600 , 22 000,15 000 ,7500 , 21 000,14 000 ,7300 , 20 000,14 000 ,7200 , 20 000,13 000 ,7000 , 19 000,13 000 ,6700 , 18 000
Mashonaland West,7100 ,3400 , 12 000,11 000 ,5300 , 17 000,15 000 ,7100 , 23 000,20 000 ,9100 , 29 000,24 000 ,11 000 , 36 000,27 000 ,13 000 , 39 000,29 000 ,13 000 , 42 000,29 000 ,13 000 , 43 000,29 000 ,12 000 , 42 000,27 000 ,11 000 , 40 000,25 000 ,10 000 , 37 000,23 000 ,9000 , 34 000,21 000 ,8100 , 31 000,19 000 ,7100 , 27 000,17 000 ,6300 , 24 000,15 000 ,5700 , 22 000,14 000 ,5400 , 20 000,13 000 ,5200 , 19 000,13 000 ,5200 , 18 000,12 000 ,5200 , 17 000,12 000 ,5500 , 17 000,12 000 ,5600 , 17 000,12 000 ,5700 , 16 000,11 000 ,5900 , 16 000,11 000 ,5900 , 15 000,11 000 ,6000 , 15 000,10 000 ,5900 , 14 000,9600 ,5800 , 13 000,9000 ,5500 , 12 000,8400 ,5200 , 11 000
Masvingo,12 000 ,5300 , 19 000,14 000 ,5800 , 22 000,16 000 ,6300 , 24 000,17 000 ,6800 , 25 000,18 000 ,7500 , 27 000,19 000 ,8000 , 28 000,19 000 ,7900 , 27 000,19 000 ,7800 , 27 000,18 000 ,7600 , 26 000,18 000 ,7400 , 25 000,17 000 ,7100 , 23 000,16 000 ,6800 , 23 000,15 000 ,6400 , 22 000,15 000 ,6200 , 21 000,14 000 ,6000 , 20 000,14 000 ,6000 , 20 000,13 000 ,5900 , 19 000,13 000 ,5900 , 19 000,13 000 ,5800 , 18 000,12 000 ,5700 , 18 000,12 000 ,5800 , 18 000,12 000 ,5700 , 17 000,11 000 ,5500 , 16 000,11 000 ,5400 , 15 000,10 000 ,5200 , 15 000,9800 ,5100 , 14 000,9400 ,4900 , 14 000,9000 ,4800 , 13 000,8600 ,4600 , 13 000,8400 ,4400 , 12 000
Matabeleland North,8700 ,4300 , 14 000,10 000 ,4900 , 16 000,12 000 ,5400 , 18 000,13 000 ,5700 , 19 000,13 000 ,6100 , 20 000,14 000 ,6100 , 20 000,14 000 ,6000 , 20 000,14 000 ,5900 , 19 000,14 000 ,5800 , 19 000,13 000 ,5600 , 18 000,13 000 ,5400 , 18 000,12 000 ,5200 , 17 000,12 000 ,5100 , 16 000,12 000 ,5000 , 16 000,11 000 ,4900 , 15 000,11 000 ,4900 , 15 000,11 000 ,4900 , 15 000,11 000 ,5000 , 14 000,11 000 ,4900 , 14 000,11 000 ,5000 , 14 000,11 000 ,5100 , 15 000,10 000 ,5000 , 15 000,10 000 ,4900 , 14 000,9800 ,4800 , 14 000,9400 ,4700 , 13 000,8900 ,4500 , 13 000,8400 ,4300 , 12 000,7800 ,4100 , 11 000,7200 ,3800 , 10 000,6800 ,3600 , 9500
Matabeleland South,3700 ,1900 , 6000,5200 ,2600 , 7900,6900 ,3400 , 10 000,8700 ,4100 , 13 000,10 000 ,4800 , 16 000,12 000 ,5000 , 18 000,13 000 ,5300 , 19 000,13 000 ,5300 , 19 000,13 000 ,5200 , 19 000,13 000 ,5100 , 19 000,13 000 ,4900 , 18 000,12 000 ,4700 , 18 000,12 000 ,4600 , 17 000,11 000 ,4400 , 16 000,11 000 ,4400 , 15 000,10 000 ,4300 , 15 000,10 000 ,4400 , 14 000,9800 ,4300 , 14 000,9700 ,4400 , 14 000,9600 ,4400 , 14 000,9800 ,4600 , 14 000,9700 ,4600 , 14 000,9700 ,4700 , 14 000,9700 ,4800 , 14 000,9600 ,4800 , 13 000,9400 ,4900 , 13 000,9200 ,4800 , 13 000,9000 ,4700 , 13 000,8600 ,4500 , 12 000,8200 ,4400 , 12 000
Midlands,14 000 ,7000 , 21 000,17 000 ,8100 , 26 000,19 000 ,9000 , 29 000,21 000 ,9500 , 33 000,22 000 ,9600 , 34 000,23 000 ,9800 , 35 000,23 000 ,9400 , 35 000,23 000 ,9200 , 34 000,22 000 ,9000 , 33 000,21 000 ,8600 , 31 000,20 000 ,8200 , 30 000,19 000 ,7700 , 28 000,18 000 ,7200 , 26 000,17 000 ,7000 , 25 000,17 000 ,6800 , 24 000,16 000 ,6600 , 23 000,15 000 ,6500 , 22 000,15 000 ,6500 , 21 000,14 000 ,6400 , 20 000,14 000 ,6500 , 20 000,14 000 ,6500 , 20 000,14 000 ,6700 , 20 000,14 000 ,6700 , 20 000,14 000 ,6800 , 20 000,14 000 ,6800 , 19 000,14 000 ,6800 , 19 000,13 000 ,6800 , 19 000,13 000 ,6800 , 19 000,13 000 ,6700 , 18 000,13 000 ,6600 , 18 000
National,140 000 ,78 000,200 000,170 000 ,95 000,240 000,200 000 ,110 000,280 000,210 000 ,120 000,300 000,230 000 ,130 000,320 000,240 000 ,130 000,330 000,230 000 ,130 000,330 000,230 000 ,130 000,320 000,220 000 ,120 000,300 000,200 000 ,110 000,290 000,190 000 ,100 000,260 000,170 000 ,97 000,240 000,160 000 ,90 000,230 000,150 000 ,84 000,210 000,140 000 ,79 000,200 000,130 000 ,75 000,190 000,130 000 ,71 000,180 000,120 000 ,69 000,170 000,120 000 ,67 000,170 000,120 000 ,66 000,170 000,120 000 ,65 000,160 000,110 000 ,64 000,160 000,110 000 ,63 000,160 000,110 000 ,61 000,150 000,110 000 ,59 000,150 000,100 000 ,57 000,150 000,99 000 ,55 000,140 000,95 000 ,53 000,130 000,90 000 ,51 000,130 000,87 000 ,49 000,120 000
