States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,3400 ,2700 , 4100,3600 ,2800 , 4200,3600 ,2800 , 4200,3600 ,2700 , 4100,3500 ,2600 , 4000,3400 ,2600 , 3900,3300 ,2500 , 3900,3200 ,2400 , 3800,3100 ,2300 , 3700,2900 ,2200 , 3500
Harare,8400 ,6500 , 10 000,8500 ,6500 , 10 000,8200 ,6400 , 9700,7800 ,6200 , 9300,7400 ,5800 , 8800,7000 ,5400 , 8400,6600 ,5100 , 8000,6400 ,4900 , 7600,6100 ,4700 , 7500,5900 ,4400 , 7200
Manicaland,8300 ,6400 , 9800,8600 ,6500 , 10 000,8400 ,6500 , 9900,8200 ,6200 , 9600,7900 ,5900 , 9100,7500 ,5600 , 8900,7200 ,5300 , 8400,7000 ,5200 , 8300,6700 ,4900 , 8100,6500 ,4800 , 8000
Mashonaland Central,4800 ,3800 , 5800,4900 ,3800 , 5800,4900 ,3900 , 6000,4900 ,3800 , 5800,4800 ,3700 , 5800,4700 ,3600 , 5700,4500 ,3400 , 5500,4400 ,3200 , 5400,4200 ,3100 , 5200,4000 ,2900 , 5000
Mashonaland East,10 000 ,7900 , 12 000,11 000 ,8400 , 12 000,11 000 ,8600 , 13 000,11 000 ,8500 , 13 000,11 000 ,8400 , 12 000,11 000 ,8200 , 13 000,10 000 ,8100 , 12 000,10 000 ,8000 , 12 000,10 000 ,7900 , 12 000,9900 ,7700 , 12 000
Mashonaland West,9700 ,7600 , 12 000,10 000 ,7800 , 12 000,10 000 ,7900 , 12 000,9900 ,7800 , 12 000,9700 ,7500 , 11 000,9400 ,7100 , 11 000,9000 ,6800 , 11 000,8700 ,6500 , 10 000,8300 ,6200 , 9900,7900 ,5900 , 9500
Masvingo,7900 ,6400 , 9300,8100 ,6500 , 9500,8100 ,6400 , 9500,8000 ,6400 , 9400,7900 ,6100 , 9300,7600 ,6000 , 9000,7400 ,5700 , 8700,7200 ,5600 , 8600,7000 ,5300 , 8300,6700 ,5100 , 8100
Matabeleland North,5200 ,4200 , 6100,5400 ,4300 , 6200,5700 ,4600 , 6500,5800 ,4700 , 6700,5900 ,4800 , 6900,6000 ,4700 , 6900,6000 ,4700 , 7000,5900 ,4600 , 6900,5700 ,4500 , 6800,5600 ,4300 , 6800
Matabeleland South,5600 ,4600 , 6700,5900 ,4800 , 6900,5900 ,4900 , 6900,5800 ,4800 , 6800,5700 ,4700 , 6600,5500 ,4500 , 6500,5300 ,4400 , 6200,5300 ,4400 , 6100,5300 ,4300 , 6100,5200 ,4200 , 6100
Midlands,7500 ,5900 , 8800,7800 ,6000 , 9200,8200 ,6400 , 9400,8500 ,6600 , 9800,8700 ,6700 , 10 000,8800 ,6800 , 10 000,8900 ,6900 , 10 000,9000 ,6800 , 10 000,9000 ,6800 , 10 000,9000 ,6800 , 11 000
National,71 000 ,54 000,86 000,74 000 ,56 000,89 000,74 000 ,56 000,89 000,73 000 ,56 000,89 000,72 000 ,55 000,87 000,70 000 ,54 000,85 000,69 000 ,52 000,83 000,67 000 ,51 000,81 000,65 000 ,50 000,79 000,64 000 ,48 000,77 000
