States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulawayo,2238,2082,3218,3474,3234,2476,2543,2607,2811,2922
Harare,4513,4689,6840,6710,6640,6818,6682,6675,6403,6574
Manicaland,1755,3191,5923,5256,6638,6388,6552,6651,6387,5941
Mashonaland Central,814,3037,4991,5043,5481,4799,5204,5552,5212,5328
Mashonaland East,2430,4770,5744,6607,7235,6611,7514,7426,7246,7035
Mashonaland West,2 057.5,5 478.33,9 274.17,10 292,7419,7807,8161,8383,8787,8191
Masvingo,2421,3222,6580,6086,6016,6564,6488,6521,6259,5646
Matabeleland North,1405,3377,4182,3609,4442,4206,4443,4635,4392,4146
Matabeleland South,1216,3831,5042,4683,4728,4946,5010,5056,4879,4710
Midlands,2290,4498,6839,6423,6834,6763,7002,7064,7245,7116
National,21 139.5,38 175.33,58 633.17,58 183,58 667,57 378,59 599,60 570,59 621,57 609
