States,2019,2019_lower, 2019_upper
Alto Molócuè,8.7 ,6.4 , 11.3
Ancuabe,11.6 ,7.5 , 16.5
Angoche,8.0 ,5.3 , 11.7
Angónia,3.0 ,2.2 , 3.9
Balama,7.8 ,5.1 , 11.3
Beira,26.1 ,22.7 , 29.7
Bilene,28.7 ,24.8 , 32.9
Boane,39.2 ,31.4 , 47.8
Báruè,15.4 ,12.6 , 18.9
Búzi,17.3 ,13.6 , 21.7
Cahora Bassa,8.5 ,5.8 , 12.1
Caia,11.4 ,7.9 , 15.5
Changara,11.6 ,8.1 , 15.7
Chemba,11.0 ,7.5 , 15.5
Cheringoma,11.6 ,7.7 , 16.9
Chibabava,15.1 ,11.4 , 19.3
Chibuto,28.9 ,24.8 , 32.9
Chicualacuala,13.7 ,10.0 , 18.0
Chifunde,2.0 ,1.4 , 2.8
Chigubo,18.1 ,13.1 , 23.9
Chimbunila,4.9 ,3.1 , 7.1
Chimoio,22.1 ,20.1 , 24.0
Chinde,21.0 ,15.4 , 27.7
Chiúre,10.5 ,8.0 , 13.1
Chiúta,4.9 ,3.5 , 6.6
Chongoene,24.2 ,19.9 , 28.5
Chókwé,31.8 ,28.2 , 35.2
Cuamba,9.7 ,7.5 , 12.3
Derre,10.0 ,6.5 , 14.0
Dondo,20.5 ,15.2 , 27.0
Dôa,5.5 ,3.7 , 7.8
Eráti,8.1 ,5.4 , 11.7
Funhalouro,12.7 ,9.2 , 16.9
Gilé,12.0 ,8.9 , 15.4
Gondola,14.8 ,11.0 , 19.1
Gorongosa,11.7 ,8.4 , 15.8
Govuro,23.4 ,17.7 , 29.2
Guijá,25.7 ,20.2 , 31.3
Guro,11.1 ,7.4 , 15.7
Guruè,7.7 ,5.8 , 10.0
Homoíne,11.6 ,8.7 , 15.3
Ibo,10.3 ,6.5 , 15.3
Ile,11.7 ,8.6 , 15.2
Ilha de Moçambique,9.1 ,5.8 , 13.1
Inhambane,16.4 ,12.4 , 21.4
Inharrime,14.8 ,11.4 , 18.9
Inhassoro,21.0 ,17.2 , 24.8
Inhassunge,25.4 ,20.2 , 31.1
Jangamo,10.1 ,7.3 , 13.4
KaMavota,14.0 ,12.3 , 16.0
KaMaxakeni,21.7 ,19.3 , 24.2
KaMpfumu,21.0 ,17.4 , 24.6
KaMubukwana,14.6 ,12.8 , 16.3
KaNyaka,13.5 ,9.9 , 17.2
KaTembe,17.0 ,11.2 , 23.4
Lago,8.4 ,6.0 , 11.2
Lalaua,5.5 ,3.6 , 7.8
Larde,11.4 ,7.2 , 17.0
Lichinga,13.2 ,10.2 , 16.6
Limpopo,25.6 ,21.6 , 29.5
Liúpo,4.1 ,2.5 , 6.4
Luabo,13.6 ,9.1 , 19.2
Lugela,12.8 ,9.0 , 17.5
Mabalane,23.8 ,18.5 , 29.1
Mabote,19.9 ,15.4 , 24.8
Macanga,2.1 ,1.4 , 3.0
Macate,9.4 ,6.6 , 12.7
Machanga,22.6 ,17.7 , 28.6
Machaze,15.9 ,12.5 , 19.2
Macomia,16.1 ,10.9 , 23.0
Macossa,9.6 ,6.3 , 13.6
Maganja da Costa,26.4 ,19.3 , 33.6
Magude,45.9 ,37.4 , 55.4
Majune,5.9 ,3.6 , 8.8
Malema,5.9 ,3.9 , 8.3
Mandimba,8.9 ,6.6 , 12.2
Mandlakazi,22.6 ,17.8 , 28.1
Manhiça,46.8 ,40.6 , 53.6
Manica,15.8 ,13.0 , 18.5
Mapai,21.4 ,16.9 , 25.9
Marara,9.5 ,6.0 , 14.3
Marracuene,31.0 ,25.6 , 36.8
Marromeu,21.3 ,16.3 , 27.2
Marrupa,7.5 ,5.0 , 10.3
Marávia,3.4 ,2.3 , 4.8
Maríngué,7.7 ,5.0 , 11.4
Massangena,18.5 ,13.8 , 24.1
Massinga,16.1 ,13.1 , 19.2
Massingir,20.9 ,15.1 , 27.6
Matola,25.1 ,23.3 , 27.1
Matutuíne,45.9 ,34.2 , 58.6
Mavago,8.6 ,5.5 , 13.4
Maxixe,16.8 ,13.5 , 20.5
Maúa,9.0 ,6.1 , 12.9
Mecanhelas,6.2 ,4.2 , 8.5
Meconta,10.1 ,6.8 , 14.2
Mecubúri,5.3 ,3.6 , 7.5
Mecufi,8.8 ,5.8 , 12.6
Mecula,12.9 ,7.9 , 19.1
Meluco,15.0 ,9.8 , 21.2
Memba,4.8 ,3.1 , 7.1
Metarica,5.1 ,3.2 , 7.5
Metuge,11.0 ,7.3 , 15.7
Milange,9.8 ,7.3 , 12.9
Moamba,41.8 ,32.6 , 51.4
Moatize,11.9 ,9.6 , 14.5
Mocuba,20.6 ,17.2 , 24.3
Mocubela,28.9 ,20.7 , 38.0
Mocímboa da Praia,14.9 ,10.7 , 19.9
Mogincual,4.4 ,2.8 , 6.5
Mogovolas,6.1 ,4.1 , 8.6
Molumbo,6.5 ,4.4 , 9.2
Moma,10.7 ,7.7 , 14.6
Monapo,8.7 ,6.1 , 12.1
Montepuez,10.9 ,7.7 , 14.5
Mopeia,14.8 ,10.3 , 20.4
Morrumbala,11.8 ,8.9 , 15.1
Morrumbene,13.4 ,10.1 , 17.7
Morrupula,5.7 ,3.7 , 8.2
Mossuril,6.4 ,4.2 , 9.5
Mossurize,7.9 ,6.2 , 9.9
Muanza,10.5 ,6.6 , 15.7
Muecate,7.5 ,5.0 , 10.9
Mueda,25.3 ,20.7 , 30.3
Muembe,6.5 ,4.3 , 9.3
Muidumbe,29.2 ,21.1 , 38.6
Mulevala,12.0 ,8.5 , 16.0
Mutarara,5.5 ,3.7 , 7.7
Mágoè,8.6 ,6.3 , 11.1
Nacala,13.4 ,9.9 , 17.6
Nacala-a-Velha,7.8 ,5.0 , 11.5
Nacarôa,6.8 ,4.5 , 9.9
Namaacha,37.7 ,28.5 , 47.9
Namacurra,33.2 ,28.2 , 38.6
Namarói,6.3 ,4.4 , 8.6
Nampula,13.0 ,11.2 , 14.9
Namuno,12.3 ,8.4 , 17.6
Nangade,12.8 ,8.6 , 18.2
Ngaúma,5.9 ,3.9 , 8.5
Nhamatanda,17.3 ,12.8 , 21.7
Nhlamankulu,25.1 ,22.5 , 27.6
Nicoadala,29.1 ,23.0 , 35.9
Nipepe,6.9 ,4.5 , 10.0
Palma,10.0 ,6.4 , 14.7
Panda,13.0 ,9.8 , 16.3
Pebane,26.8 ,22.1 , 31.4
Pemba,17.2 ,15.1 , 19.6
Quelimane,34.8 ,32.2 , 37.4
Quissanga,10.3 ,6.3 , 15.0
Rapale,6.4 ,4.2 , 9.1
Ribáuè,8.5 ,5.6 , 12.2
Sanga,6.9 ,4.6 , 10.0
Sussendenga,11.0 ,8.5 , 13.7
Tambara,11.5 ,8.1 , 15.6
Tete,11.4 ,9.3 , 14.0
Tsangano,2.5 ,1.6 , 3.8
Vanduzi,14.2 ,10.8 , 18.6
Vilankulo,18.1 ,14.8 , 21.5
Xai-Xai,27.1 ,21.7 , 32.9
Zavala,15.5 ,11.7 , 19.8
Zumbu,2.6 ,1.7 , 3.8
National,15.2 ,12.2,19.0
