States,2019,2019_lower, 2019_upper
Alto Molócuè,5.5 ,3.7 , 7.7
Ancuabe,8.1 ,5.2 , 11.4
Angoche,6.0 ,4.0 , 8.9
Angónia,1.6 ,0.9 , 2.6
Balama,5.6 ,3.6 , 8.3
Beira,13.2 ,11.3 , 15.3
Bilene,21.1 ,16.6 , 26.0
Boane,22.1 ,16.6 , 28.2
Báruè,10.1 ,7.2 , 13.4
Búzi,11.6 ,8.5 , 15.3
Cahora Bassa,4.1 ,2.6 , 6.1
Caia,7.8 ,5.2 , 10.7
Changara,4.7 ,3.0 , 6.8
Chemba,7.1 ,4.7 , 10.2
Cheringoma,7.5 ,4.6 , 11.4
Chibabava,10.3 ,7.1 , 13.9
Chibuto,17.9 ,14.3 , 21.9
Chicualacuala,14.5 ,9.7 , 20.4
Chifunde,1.3 ,0.7 , 2.1
Chigubo,15.0 ,10.7 , 19.9
Chimbunila,3.9 ,2.6 , 5.7
Chimoio,12.5 ,10.3 , 15.1
Chinde,15.0 ,10.2 , 20.2
Chiúre,7.3 ,5.3 , 9.6
Chiúta,2.4 ,1.6 , 3.6
Chongoene,19.2 ,14.5 , 24.2
Chókwé,22.3 ,18.2 , 26.6
Cuamba,4.6 ,3.3 , 6.1
Derre,7.8 ,4.7 , 11.4
Dondo,12.2 ,8.7 , 16.7
Dôa,2.6 ,1.5 , 3.9
Eráti,7.1 ,4.8 , 10.1
Funhalouro,9.8 ,6.7 , 13.7
Gilé,7.6 ,5.4 , 10.4
Gondola,8.6 ,6.2 , 11.5
Gorongosa,7.6 ,5.3 , 10.6
Govuro,17.1 ,11.9 , 22.5
Guijá,20.3 ,14.7 , 25.8
Guro,8.0 ,5.5 , 11.2
Guruè,5.6 ,4.0 , 7.8
Homoíne,7.6 ,5.2 , 10.5
Ibo,7.8 ,4.4 , 13.1
Ile,8.2 ,5.7 , 11.1
Ilha de Moçambique,7.2 ,4.1 , 11.3
Inhambane,10.3 ,7.1 , 14.4
Inharrime,8.0 ,5.4 , 11.1
Inhassoro,16.7 ,13.1 , 20.6
Inhassunge,18.8 ,14.2 , 24.2
Jangamo,7.6 ,4.9 , 10.8
KaMavota,6.6 ,5.0 , 8.6
KaMaxakeni,11.9 ,9.9 , 13.9
KaMpfumu,12.5 ,10.8 , 14.2
KaMubukwana,6.3 ,4.9 , 7.9
KaNyaka,6.3 ,3.8 , 9.4
KaTembe,8.7 ,5.2 , 12.8
Lago,5.2 ,3.3 , 7.7
Lalaua,5.0 ,3.3 , 7.1
Larde,8.4 ,4.9 , 13.1
Lichinga,8.4 ,6.1 , 11.3
Limpopo,18.6 ,14.8 , 23.0
Liúpo,3.4 ,2.0 , 5.3
Luabo,10.3 ,6.5 , 15.0
Lugela,9.1 ,6.2 , 12.9
Mabalane,19.4 ,14.2 , 25.5
Mabote,15.6 ,11.6 , 19.8
Macanga,1.3 ,0.8 , 2.1
Macate,6.7 ,4.4 , 9.7
Machanga,15.2 ,10.7 , 20.6
Machaze,10.4 ,7.6 , 13.9
Macomia,12.5 ,8.0 , 18.2
Macossa,6.8 ,4.5 , 9.9
Maganja da Costa,16.1 ,11.1 , 21.7
Magude,23.3 ,16.9 , 30.0
Majune,4.1 ,2.5 , 6.0
Malema,5.0 ,3.3 , 7.2
Mandimba,4.3 ,2.9 , 6.1
Mandlakazi,14.9 ,10.4 , 20.2
Manhiça,23.1 ,18.5 , 28.2
Manica,9.7 ,6.9 , 12.8
Mapai,17.4 ,12.9 , 22.1
Marara,4.6 ,2.7 , 7.1
Marracuene,17.2 ,13.0 , 22.1
Marromeu,13.2 ,9.4 , 17.3
Marrupa,3.7 ,2.4 , 5.2
Marávia,2.0 ,1.2 , 3.1
Maríngué,5.8 ,3.6 , 8.8
Massangena,13.6 ,9.5 , 18.9
Massinga,12.7 ,9.1 , 16.6
Massingir,17.1 ,11.5 , 23.5
Matola,14.0 ,11.9 , 16.3
Matutuíne,24.8 ,17.6 , 33.8
Mavago,4.5 ,2.7 , 7.0
Maxixe,9.4 ,6.6 , 12.9
Maúa,5.2 ,3.4 , 7.6
Mecanhelas,3.6 ,2.3 , 5.3
Meconta,7.5 ,5.0 , 10.7
Mecubúri,4.8 ,3.3 , 6.9
Mecufi,6.2 ,3.7 , 9.3
Mecula,6.4 ,3.8 , 9.7
Meluco,10.2 ,6.5 , 14.6
Memba,4.4 ,2.9 , 6.6
Metarica,3.0 ,1.8 , 4.7
Metuge,7.7 ,5.1 , 11.2
Milange,6.7 ,4.5 , 9.3
Moamba,20.2 ,14.9 , 26.5
Moatize,3.8 ,2.8 , 5.1
Mocuba,11.7 ,9.1 , 14.7
Mocubela,18.3 ,12.8 , 24.7
Mocímboa da Praia,11.1 ,7.7 , 15.3
Mogincual,3.4 ,2.1 , 5.3
Mogovolas,5.3 ,3.5 , 7.4
Molumbo,5.2 ,3.4 , 7.6
Moma,8.3 ,5.9 , 11.3
Monapo,6.5 ,4.6 , 9.1
Montepuez,6.9 ,4.8 , 9.4
Mopeia,10.5 ,7.2 , 14.4
Morrumbala,8.8 ,6.2 , 12.1
Morrumbene,9.1 ,6.3 , 12.6
