States,2019,2019_lower, 2019_upper
Alto Molócuè,4.3 ,3.0 , 5.7
Ancuabe,6.5 ,4.2 , 9.3
Angoche,4.8 ,3.1 , 7.1
Angónia,1.0 ,0.7 , 1.4
Balama,4.5 ,2.9 , 6.5
Beira,10.6 ,8.9 , 12.4
Bilene,10.6 ,8.8 , 12.6
Boane,19.0 ,14.6 , 23.8
Báruè,6.0 ,4.8 , 7.6
Búzi,8.7 ,6.6 , 11.2
Cahora Bassa,3.0 ,2.0 , 4.3
Caia,6.0 ,4.1 , 8.2
Changara,4.1 ,2.9 , 5.7
Chemba,5.6 ,3.8 , 8.1
Cheringoma,6.1 ,3.9 , 8.9
Chibabava,7.6 ,5.7 , 9.8
Chibuto,10.7 ,8.9 , 12.7
Chicualacuala,5.3 ,3.7 , 7.5
Chifunde,0.7 ,0.5 , 1.1
Chigubo,7.1 ,5.0 , 9.5
Chimbunila,2.7 ,1.8 , 4.0
Chimoio,8.0 ,7.0 , 9.1
Chinde,11.1 ,7.9 , 15.0
Chiúre,5.7 ,4.3 , 7.3
Chiúta,1.7 ,1.2 , 2.3
Chongoene,9.2 ,7.2 , 11.2
Chókwé,11.8 ,10.0 , 13.6
Cuamba,4.7 ,3.6 , 6.1
Derre,5.3 ,3.3 , 7.6
Dondo,9.7 ,7.1 , 12.8
Dôa,2.0 ,1.3 , 2.9
Eráti,4.9 ,3.3 , 7.0
Funhalouro,5.6 ,4.0 , 7.7
Gilé,6.0 ,4.4 , 8.1
Gondola,5.8 ,4.2 , 7.6
Gorongosa,6.0 ,4.2 , 8.1
Govuro,9.8 ,7.1 , 12.5
Guijá,9.8 ,7.4 , 12.4
Guro,4.6 ,3.1 , 6.6
Guruè,3.9 ,2.9 , 5.1
Homoíne,5.0 ,3.6 , 6.7
Ibo,5.9 ,3.6 , 9.1
Ile,5.7 ,4.1 , 7.7
Ilha de Moçambique,5.3 ,3.2 , 7.8
Inhambane,6.5 ,4.8 , 8.6
Inharrime,6.2 ,4.6 , 8.1
Inhassoro,8.9 ,7.1 , 10.8
Inhassunge,12.8 ,9.9 , 16.0
Jangamo,4.4 ,3.1 , 5.9
KaMavota,3.8 ,3.2 , 4.5
KaMaxakeni,6.2 ,5.4 , 7.2
KaMpfumu,5.2 ,4.3 , 6.2
KaMubukwana,3.9 ,3.2 , 4.5
KaNyaka,3.6 ,2.4 , 5.0
KaTembe,4.9 ,3.0 , 6.9
Lago,4.2 ,2.9 , 5.9
Lalaua,3.4 ,2.2 , 4.9
Larde,6.6 ,4.1 , 10.1
Lichinga,6.8 ,5.2 , 8.9
Limpopo,9.2 ,7.5 , 11.2
Liúpo,2.5 ,1.5 , 3.9
Luabo,7.5 ,4.9 , 10.6
Lugela,6.4 ,4.4 , 8.7
Mabalane,8.9 ,6.6 , 11.4
Mabote,8.8 ,6.7 , 11.2
Macanga,0.8 ,0.5 , 1.1
Macate,3.9 ,2.6 , 5.4
Machanga,11.0 ,8.3 , 14.4
Machaze,6.2 ,4.7 , 7.8
Macomia,9.5 ,6.4 , 13.9
Macossa,4.1 ,2.6 , 5.8
Maganja da Costa,13.3 ,9.6 , 17.2
Magude,24.2 ,18.8 , 30.3
Majune,3.2 ,2.0 , 4.9
Malema,3.5 ,2.3 , 5.0
Mandimba,4.3 ,3.1 , 5.9
Mandlakazi,8.6 ,6.4 , 11.0
Manhiça,24.1 ,20.0 , 28.5
Manica,5.8 ,4.5 , 7.1
Mapai,8.1 ,6.3 , 10.3
Marara,3.6 ,2.2 , 5.5
Marracuene,15.2 ,12.0 , 18.9
Marromeu,10.6 ,7.8 , 13.7
Marrupa,3.8 ,2.5 , 5.2
Marávia,1.2 ,0.8 , 1.8
Maríngué,4.1 ,2.7 , 6.1
Massangena,6.8 ,4.9 , 9.1
Massinga,7.0 ,5.5 , 8.6
Massingir,7.8 ,5.4 , 10.5
Matola,12.4 ,11.1 , 13.8
Matutuíne,23.3 ,17.0 , 30.6
Mavago,4.6 ,2.9 , 7.1
Maxixe,6.5 ,5.0 , 8.1
Maúa,4.8 ,3.2 , 6.9
Mecanhelas,3.1 ,2.1 , 4.4
Meconta,5.8 ,3.9 , 8.2
Mecubúri,3.2 ,2.1 , 4.6
Mecufi,4.9 ,3.1 , 7.2
Mecula,6.6 ,4.0 , 9.9
Meluco,8.5 ,5.4 , 12.1
Memba,2.9 ,1.9 , 4.3
Metarica,2.7 ,1.7 , 4.1
Metuge,6.3 ,4.2 , 9.1
Milange,4.7 ,3.5 , 6.3
Moamba,20.6 ,15.6 , 26.1
Moatize,3.9 ,3.1 , 4.9
Mocuba,9.8 ,7.9 , 11.8
Mocubela,14.5 ,10.2 , 19.4
Mocímboa da Praia,8.5 ,5.9 , 11.4
Mogincual,2.6 ,1.7 , 3.9
Mogovolas,3.8 ,2.5 , 5.3
Molumbo,3.2 ,2.2 , 4.7
Moma,6.4 ,4.6 , 8.6
Monapo,5.0 ,3.5 , 7.0
Montepuez,6.0 ,4.3 , 8.3
Mopeia,7.9 ,5.4 , 10.9
Morrumbala,6.1 ,4.5 , 8.0
Morrumbene,5.7 ,4.2 , 7.7
Morrupula,3.5 ,2.2 , 5.0
Mossuril,3.8 ,2.5 , 5.7
Mossurize,2.9 ,2.2 , 3.8
Muanza,5.4 ,3.3 , 8.2
Muecate,4.5 ,3.0 , 6.5
Mueda,13.9 ,11.1 , 17.2
Muembe,3.5 ,2.2 , 5.0
Muidumbe,16.9 ,11.7 , 22.9
Mulevala,6.3 ,4.4 , 8.5
Mutarara,2.1 ,1.4 , 3.0
Mágoè,3.0 ,2.1 , 4.1
Nacala,7.4 ,5.4 , 9.8
Nacala-a-Velha,4.6 ,2.8 , 6.7
Nacarôa,4.1 ,2.7 , 5.9
Namaacha,19.5 ,14.1 , 25.7
Namacurra,16.3 ,13.5 , 19.4
Namarói,3.3 ,2.3 , 4.6
Nampula,6.6 ,5.5 , 7.8
Namuno,7.0 ,4.7 , 10.2
Nangade,7.4 ,4.9 , 10.7
Ngaúma,3.1 ,2.0 , 4.5
Nhamatanda,8.5 ,6.3 , 11.0
Nhlamankulu,6.5 ,5.6 , 7.6
Nicoadala,14.1 ,11.0 , 17.8
Nipepe,3.6 ,2.3 , 5.2
Palma,5.8 ,3.6 , 8.6
Panda,5.7 ,4.2 , 7.3
Pebane,13.8 ,11.1 , 16.7
Pemba,8.8 ,7.2 , 10.4
Quelimane,16.8 ,14.9 , 18.8
Quissanga,6.0 ,3.6 , 8.7
Rapale,3.7 ,2.4 , 5.4
Ribáuè,5.0 ,3.3 , 7.3
Sanga,3.8 ,2.5 , 5.5
Sussendenga,4.3 ,3.2 , 5.5
Tambara,4.6 ,3.2 , 6.2
Tete,4.5 ,3.6 , 5.5
Tsangano,0.9 ,0.5 , 1.3
Vanduzi,5.6 ,4.2 , 7.4
Vilankulo,7.6 ,6.0 , 9.4
Xai-Xai,9.5 ,7.5 , 12.1
Zavala,6.8 ,5.0 , 8.9
Zumbu,1.0 ,0.6 , 1.5
National,7.1 ,3.0,11.4
