States,2019,2019_lower, 2019_upper
Alto Molócuè,5.97 ,3.68 , <0.01
Ancuabe,7.22 ,4.32 , 0.01
Angoche,8.55 ,5.14 , 0.01
Angónia,0.87 ,0.50 , <0.01
Balama,6.75 ,3.93 , 0.01
Beira,12.90 ,10.52 , 0.02
Bilene,10.35 ,8.01 , 0.01
Boane,27.16 ,18.99 , 0.04
Báruè,7.36 ,5.13 , 0.01
Búzi,9.88 ,6.63 , 0.01
Cahora Bassa,1.97 ,1.28 , <0.01
Caia,8.06 ,4.95 , 0.01
Changara,2.38 ,1.55 , <0.01
Chemba,9.05 ,5.62 , 0.01
Cheringoma,8.60 ,4.94 , 0.01
Chibabava,8.30 ,5.34 , 0.01
Chibuto,9.60 ,7.93 , 0.01
Chicualacuala,6.73 ,3.81 , 0.01
Chifunde,0.65 ,0.35 , <0.01
Chigubo,7.63 ,5.01 , 0.01
Chimbunila,3.90 ,2.34 , <0.01
Chimoio,8.18 ,6.54 , 0.01
Chinde,15.92 ,9.73 , 0.02
Chiúre,6.22 ,4.10 , <0.01
Chiúta,1.20 ,0.77 , <0.01
Chongoene,9.16 ,6.93 , 0.01
Chókwé,10.23 ,8.36 , 0.01
Cuamba,5.44 ,3.76 , <0.01
Derre,8.59 ,4.83 , 0.01
Dondo,14.04 ,9.18 , 0.02
Dôa,1.49 ,0.84 , <0.01
Eráti,8.55 ,5.20 , 0.01
Funhalouro,8.06 ,5.30 , 0.01
Gilé,7.48 ,4.74 , 0.01
Gondola,6.39 ,4.37 , <0.01
Gorongosa,8.85 ,5.69 , 0.01
Govuro,12.30 ,8.56 , 0.02
Guijá,9.47 ,6.83 , 0.01
Guro,5.15 ,3.24 , <0.01
Guruè,5.56 ,3.55 , <0.01
Homoíne,7.41 ,4.94 , 0.01
Ibo,8.79 ,4.57 , 0.02
Ile,7.46 ,4.89 , 0.01
Ilha de Moçambique,9.04 ,4.64 , 0.01
Inhambane,10.13 ,6.71 , 0.01
Inharrime,8.76 ,5.86 , 0.01
Inhassoro,11.56 ,8.47 , 0.02
Inhassunge,15.59 ,10.89 , 0.02
Jangamo,6.38 ,3.93 , <0.01
KaMavota,4.07 ,3.07 , <0.01
KaMaxakeni,6.36 ,5.20 , <0.01
