States,2019,2019_lower, 2019_upper
Alto Molócuè,1.58 ,0.97 , <0.01
Ancuabe,1.90 ,1.14 , <0.01
Angoche,3.60 ,2.18 , <0.01
Angónia,0.32 ,0.18 , <0.01
Balama,1.83 ,1.07 , <0.01
Beira,3.66 ,2.99 , <0.01
Bilene,1.30 ,1.01 , <0.01
Boane,8.20 ,5.74 , 0.01
Báruè,1.88 ,1.32 , <0.01
Búzi,2.72 ,1.82 , <0.01
Cahora Bassa,0.77 ,0.50 , <0.01
Caia,2.20 ,1.35 , <0.01
Changara,0.90 ,0.59 , <0.01
Chemba,2.37 ,1.47 , <0.01
Cheringoma,2.45 ,1.41 , <0.01
Chibabava,2.22 ,1.44 , <0.01
Chibuto,1.22 ,1.00 , <0.01
Chicualacuala,0.89 ,0.51 , <0.01
Chifunde,0.24 ,0.13 , <0.01
Chigubo,1.01 ,0.66 , <0.01
Chimbunila,1.17 ,0.70 , <0.01
Chimoio,2.36 ,1.90 , <0.01
Chinde,4.09 ,2.51 , <0.01
Chiúre,1.69 ,1.12 , <0.01
Chiúta,0.44 ,0.28 , <0.01
Chongoene,1.16 ,0.88 , <0.01
Chókwé,1.32 ,1.08 , <0.01
Cuamba,1.77 ,1.22 , <0.01
Derre,2.26 ,1.28 , <0.01
Dondo,3.90 ,2.55 , <0.01
Dôa,0.58 ,0.33 , <0.01
Eráti,3.79 ,2.31 , <0.01
Funhalouro,1.54 ,1.01 , <0.01
Gilé,2.02 ,1.28 , <0.01
Gondola,1.77 ,1.22 , <0.01
Gorongosa,2.41 ,1.55 , <0.01
Govuro,2.26 ,1.57 , <0.01
Guijá,1.22 ,0.89 , <0.01
Guro,1.30 ,0.82 , <0.01
Guruè,1.48 ,0.95 , <0.01
Homoíne,1.42 ,0.94 , <0.01
Ibo,2.26 ,1.18 , <0.01
Ile,1.93 ,1.27 , <0.01
Ilha de Moçambique,3.74 ,1.93 , <0.01
Inhambane,1.99 ,1.31 , <0.01
Inharrime,1.68 ,1.12 , <0.01
Inhassoro,2.11 ,1.55 , <0.01
Inhassunge,3.77 ,2.64 , <0.01
Jangamo,1.23 ,0.76 , <0.01
KaMavota,1.76 ,1.32 , <0.01
KaMaxakeni,3.10 ,2.53 , <0.01
KaMpfumu,1.48 ,1.18 , <0.01
KaMubukwana,1.68 ,1.29 , <0.01
KaNyaka,1.42 ,0.73 , <0.01
KaTembe,2.28 ,1.18 , <0.01
Lago,1.61 ,0.95 , <0.01
Lalaua,2.73 ,1.61 , <0.01
Larde,5.04 ,2.88 , <0.01
Lichinga,2.83 ,1.97 , <0.01
Limpopo,1.26 ,1.01 , <0.01
Liúpo,2.16 ,1.26 , <0.01
Luabo,3.16 ,1.83 , <0.01
Lugela,2.34 ,1.35 , <0.01
Mabalane,1.29 ,0.90 , <0.01
Mabote,1.99 ,1.45 , <0.01
Macanga,0.23 ,0.12 , <0.01
Macate,1.33 ,0.79 , <0.01
Machanga,3.53 ,2.32 , <0.01
Machaze,1.49 ,1.00 , <0.01
Macomia,3.41 ,2.08 , <0.01
Macossa,1.52 ,0.94 , <0.01
Maganja da Costa,4.20 ,2.90 , <0.01
Magude,8.09 ,5.75 , 0.01
Majune,1.46 ,0.88 , <0.01
Malema,2.71 ,1.62 , <0.01
Mandimba,1.80 ,1.22 , <0.01
Mandlakazi,1.08 ,0.80 , <0.01
Manhiça,6.57 ,5.07 , <0.01
Manica,1.80 ,1.23 , <0.01
Mapai,1.12 ,0.77 , <0.01
Marara,0.83 ,0.49 , <0.01
