States,2019,2019_lower, 2019_upper
Alto Molócuè,2.65 ,1.65 , <0.01
Ancuabe,3.25 ,1.97 , <0.01
Angoche,3.95 ,2.41 , <0.01
Angónia,0.44 ,0.25 , <0.01
Balama,3.04 ,1.79 , <0.01
Beira,6.90 ,5.68 , <0.01
Bilene,4.43 ,3.51 , <0.01
Boane,13.63 ,9.73 , 0.02
Báruè,3.24 ,2.31 , <0.01
Búzi,4.48 ,3.06 , <0.01
Cahora Bassa,0.99 ,0.66 , <0.01
Caia,3.60 ,2.24 , <0.01
Changara,1.10 ,0.74 , <0.01
Chemba,3.82 ,2.42 , <0.01
Cheringoma,3.73 ,2.19 , <0.01
Chibabava,3.72 ,2.43 , <0.01
Chibuto,3.95 ,3.33 , <0.01
Chicualacuala,2.92 ,1.70 , <0.01
Chifunde,0.31 ,0.17 , <0.01
Chigubo,2.99 ,2.03 , <0.01
Chimbunila,1.76 ,1.07 , <0.01
Chimoio,4.09 ,3.32 , <0.01
Chinde,6.81 ,4.28 , <0.01
Chiúre,2.81 ,1.88 , <0.01
Chiúta,0.55 ,0.36 , <0.01
Chongoene,3.86 ,2.99 , <0.01
Chókwé,4.22 ,3.51 , <0.01
Cuamba,2.54 ,1.78 , <0.01
Derre,3.69 ,2.11 , <0.01
Dondo,6.88 ,4.59 , <0.01
Dôa,0.66 ,0.38 , <0.01
Eráti,3.98 ,2.45 , <0.01
Funhalouro,3.52 ,2.37 , <0.01
Gilé,3.29 ,2.12 , <0.01
Gondola,2.93 ,2.04 , <0.01
Gorongosa,3.80 ,2.48 , <0.01
Govuro,5.37 ,3.90 , <0.01
Guijá,3.69 ,2.76 , <0.01
Guro,2.21 ,1.42 , <0.01
Guruè,2.56 ,1.65 , <0.01
Homoíne,3.28 ,2.22 , <0.01
Ibo,4.33 ,2.29 , <0.01
Ile,3.25 ,2.15 , <0.01
Ilha de Moçambique,4.26 ,2.23 , <0.01
Inhambane,5.27 ,3.59 , <0.01
Inharrime,3.81 ,2.61 , <0.01
Inhassoro,5.18 ,3.91 , <0.01
Inhassunge,6.68 ,4.77 , <0.01
Jangamo,2.79 ,1.76 , <0.01
KaMavota,2.51 ,1.91 , <0.01
KaMaxakeni,3.90 ,3.27 , <0.01
KaMpfumu,2.24 ,1.82 , <0.01
KaMubukwana,2.44 ,1.91 , <0.01
KaNyaka,1.85 ,0.98 , <0.01
