States,2019,2019_lower, 2019_upper
Alto Molócuè,3.01 ,1.87 , <0.01
Ancuabe,3.74 ,2.27 , <0.01
Angoche,4.55 ,2.77 , <0.01
Angónia,0.51 ,0.29 , <0.01
Balama,3.53 ,2.08 , <0.01
Beira,7.81 ,6.45 , <0.01
Bilene,4.64 ,3.61 , <0.01
Boane,17.30 ,12.34 , 0.02
Báruè,3.72 ,2.64 , <0.01
Búzi,5.39 ,3.67 , <0.01
Cahora Bassa,1.16 ,0.76 , <0.01
Caia,4.35 ,2.70 , <0.01
Changara,1.32 ,0.88 , <0.01
Chemba,4.65 ,2.94 , <0.01
Cheringoma,4.53 ,2.65 , <0.01
Chibabava,4.59 ,2.99 , <0.01
Chibuto,4.06 ,3.39 , <0.01
Chicualacuala,3.09 ,1.77 , <0.01
Chifunde,0.37 ,0.20 , <0.01
Chigubo,3.11 ,2.10 , <0.01
Chimbunila,2.11 ,1.28 , <0.01
Chimoio,4.61 ,3.72 , <0.01
Chinde,7.79 ,4.86 , 0.01
Chiúre,3.29 ,2.20 , <0.01
Chiúta,0.65 ,0.42 , <0.01
Chongoene,4.08 ,3.12 , <0.01
Chókwé,4.47 ,3.68 , <0.01
Cuamba,3.02 ,2.12 , <0.01
Derre,4.25 ,2.42 , <0.01
Dondo,7.91 ,5.27 , 0.01
Dôa,0.80 ,0.45 , <0.01
Eráti,4.56 ,2.80 , <0.01
Funhalouro,3.94 ,2.64 , <0.01
Gilé,3.67 ,2.37 , <0.01
Gondola,3.32 ,2.31 , <0.01
Gorongosa,4.60 ,3.00 , <0.01
Govuro,6.07 ,4.38 , <0.01
Guijá,4.06 ,3.01 , <0.01
Guro,2.56 ,1.64 , <0.01
Guruè,2.88 ,1.85 , <0.01
Homoíne,3.70 ,2.50 , <0.01
Ibo,4.91 ,2.60 , <0.01
Ile,3.76 ,2.49 , <0.01
Ilha de Moçambique,4.85 ,2.53 , <0.01
Inhambane,5.69 ,3.86 , <0.01
Inharrime,4.33 ,2.96 , <0.01
Inhassoro,5.84 ,4.38 , <0.01
Inhassunge,7.71 ,5.48 , 0.01
Jangamo,3.20 ,2.00 , <0.01
KaMavota,3.33 ,2.53 , <0.01
KaMaxakeni,5.39 ,4.50 , <0.01
KaMpfumu,2.94 ,2.38 , <0.01
KaMubukwana,3.19 ,2.49 , <0.01
KaNyaka,2.39 ,1.26 , <0.01
KaTembe,3.91 ,2.12 , <0.01
Lago,3.03 ,1.80 , <0.01
Lalaua,3.12 ,1.86 , <0.01
Larde,6.15 ,3.57 , <0.01
Lichinga,5.17 ,3.64 , <0.01
Limpopo,4.35 ,3.50 , <0.01
Liúpo,2.69 ,1.58 , <0.01
Luabo,5.84 ,3.46 , <0.01
Lugela,4.48 ,2.62 , <0.01
Mabalane,4.21 ,3.01 , <0.01
Mabote,5.17 ,3.85 , <0.01
Macanga,0.35 ,0.18 , <0.01
Macate,2.47 ,1.49 , <0.01
Machanga,6.93 ,4.64 , <0.01
Machaze,3.05 ,2.06 , <0.01
Macomia,7.18 ,4.49 , 0.01
Macossa,2.99 ,1.88 , <0.01
Maganja da Costa,7.79 ,5.53 , 0.01
Magude,15.21 ,11.11 , 0.02
Majune,2.60 ,1.57 , <0.01
Malema,3.26 ,1.96 , <0.01
Mandimba,2.99 ,2.05 , <0.01
Mandlakazi,3.60 ,2.70 , <0.01
Manhiça,12.70 ,9.95 , 0.02
Manica,3.44 ,2.36 , <0.01
Mapai,3.74 ,2.64 , <0.01
Marara,1.21 ,0.72 , <0.01
Marracuene,11.03 ,7.77 , 0.02
Marromeu,8.17 ,5.80 , 0.01
Marrupa,2.68 ,1.67 , <0.01
Marávia,0.55 ,0.31 , <0.01
Maríngué,3.54 ,2.16 , <0.01
Massangena,3.57 ,2.51 , <0.01
Massinga,5.65 ,4.15 , <0.01
Massingir,4.36 ,2.88 , <0.01
Matola,9.08 ,7.55 , 0.01
Matutuíne,18.74 ,13.16 , 0.03
Mavago,3.47 ,2.03 , <0.01
Maxixe,5.07 ,3.90 , <0.01
Maúa,3.17 ,1.90 , <0.01
Mecanhelas,2.20 ,1.39 , <0.01
Meconta,5.59 ,3.53 , <0.01
Mecubúri,2.84 ,1.71 , <0.01
Mecufi,3.48 ,1.95 , <0.01
Mecula,5.27 ,3.18 , <0.01
Meluco,6.07 ,3.75 , <0.01
Memba,2.69 ,1.52 , <0.01
Metarica,1.78 ,1.00 , <0.01
Metuge,4.50 ,2.67 , <0.01
Milange,3.29 ,2.15 , <0.01
Moamba,16.26 ,11.23 , 0.02
Moatize,1.22 ,0.92 , <0.01
Mocuba,5.65 ,4.23 , <0.01
Mocubela,7.68 ,5.35 , 0.01
Mocímboa da Praia,6.29 ,3.99 , <0.01
Mogincual,2.58 ,1.55 , <0.01
Mogovolas,3.72 ,2.39 , <0.01
Molumbo,2.90 ,1.71 , <0.01
Moma,5.08 ,3.31 , <0.01
Monapo,5.10 ,3.43 , <0.01
Montepuez,4.64 ,2.97 , <0.01
Mopeia,5.57 ,3.64 , <0.01
Morrumbala,4.44 ,2.94 , <0.01
Morrumbene,4.30 ,2.96 , <0.01
Morrupula,3.20 ,1.88 , <0.01
Mossuril,3.78 ,2.25 , <0.01
Mossurize,1.82 ,1.17 , <0.01
Muanza,4.17 ,2.37 , <0.01
Muecate,3.90 ,2.29 , <0.01
Mueda,6.83 ,4.89 , <0.01
Muembe,2.39 ,1.34 , <0.01
Muidumbe,10.52 ,6.09 , 0.02
Mulevala,4.60 ,2.83 , <0.01
Mutarara,0.84 ,0.49 , <0.01
Mágoè,1.12 ,0.68 , <0.01
Nacala,6.33 ,3.98 , <0.01
Nacala-a-Velha,4.10 ,2.30 , <0.01
Nacarôa,3.84 ,2.29 , <0.01
Namaacha,13.38 ,9.08 , 0.02
Namacurra,9.68 ,7.52 , 0.01
Namarói,2.31 ,1.39 , <0.01
Nampula,4.94 ,3.85 , <0.01
