States,2019,2019_lower, 2019_upper
Alto Molócuè,1.41 ,0.87 , <0.01
Ancuabe,2.36 ,1.41 , <0.01
Angoche,4.79 ,2.89 , <0.01
Angónia,0.27 ,0.15 , <0.01
Balama,2.30 ,1.34 , <0.01
Beira,3.24 ,2.65 , <0.01
Bilene,1.22 ,0.94 , <0.01
Boane,7.93 ,5.57 , 0.01
Báruè,1.59 ,1.11 , <0.01
Búzi,2.48 ,1.66 , <0.01
Cahora Bassa,0.65 ,0.42 , <0.01
Caia,2.02 ,1.24 , <0.01
Changara,0.78 ,0.51 , <0.01
Chemba,2.20 ,1.37 , <0.01
Cheringoma,2.24 ,1.29 , <0.01
Chibabava,2.05 ,1.32 , <0.01
Chibuto,1.13 ,0.93 , <0.01
Chicualacuala,0.85 ,0.48 , <0.01
Chifunde,0.20 ,0.11 , <0.01
Chigubo,0.98 ,0.64 , <0.01
Chimbunila,1.02 ,0.61 , <0.01
Chimoio,1.90 ,1.51 , <0.01
Chinde,3.68 ,2.24 , <0.01
Chiúre,2.11 ,1.40 , <0.01
Chiúta,0.37 ,0.24 , <0.01
Chongoene,1.10 ,0.83 , <0.01
Chókwé,1.23 ,1.00 , <0.01
Cuamba,1.52 ,1.05 , <0.01
Derre,1.99 ,1.12 , <0.01
Dondo,3.50 ,2.29 , <0.01
Dôa,0.50 ,0.28 , <0.01
Eráti,4.90 ,2.98 , <0.01
Funhalouro,1.56 ,1.02 , <0.01
Gilé,1.79 ,1.14 , <0.01
Gondola,1.48 ,1.01 , <0.01
Gorongosa,2.20 ,1.41 , <0.01
Govuro,2.27 ,1.58 , <0.01
Guijá,1.16 ,0.84 , <0.01
Guro,1.15 ,0.72 , <0.01
Guruè,1.32 ,0.84 , <0.01
Homoíne,1.43 ,0.95 , <0.01
Ibo,2.84 ,1.48 , <0.01
Ile,1.73 ,1.14 , <0.01
Ilha de Moçambique,4.92 ,2.53 , <0.01
Inhambane,1.94 ,1.28 , <0.01
Inharrime,1.68 ,1.12 , <0.01
Inhassoro,2.15 ,1.57 , <0.01
Inhassunge,3.44 ,2.40 , <0.01
Jangamo,1.24 ,0.76 , <0.01
KaMavota,1.85 ,1.39 , <0.01
KaMaxakeni,3.26 ,2.67 , <0.01
KaMpfumu,1.57 ,1.25 , <0.01
KaMubukwana,1.75 ,1.35 , <0.01
KaNyaka,1.46 ,0.75 , <0.01
KaTembe,2.38 ,1.23 , <0.01
Lago,1.39 ,0.82 , <0.01
Lalaua,3.56 ,2.09 , <0.01
Larde,6.74 ,3.83 , 0.01
Lichinga,2.43 ,1.68 , <0.01
Limpopo,1.19 ,0.95 , <0.01
Liúpo,2.86 ,1.67 , <0.01
Luabo,2.82 ,1.64 , <0.01
Lugela,2.10 ,1.22 , <0.01
Mabalane,1.21 ,0.84 , <0.01
Mabote,2.00 ,1.45 , <0.01
Macanga,0.19 ,0.10 , <0.01
Macate,1.12 ,0.66 , <0.01
Machanga,3.24 ,2.13 , <0.01
Machaze,1.30 ,0.87 , <0.01
