States,2019,2019_lower, 2019_upper
Alto Molócuè,<1000 ,<500 , <1000
Ancuabe,<500 ,<200 , <500
Angoche,<1000 ,<1000 , 1200
Angónia,<200 ,<100 , <500
Balama,<500 ,<500 , <1000
Beira,2200 ,1800 , 2600
Bilene,<500 ,<500 , <500
Boane,1600 ,1200 , 2000
Báruè,<500 ,<500 , <500
Búzi,<1000 ,<500 , <1000
Cahora Bassa,<100 ,<100 , <200
Caia,<500 ,<500 , <1000
Changara,<100 ,<100 , <200
Chemba,<500 ,<200 , <500
Cheringoma,<200 ,<100 , <500
Chibabava,<500 ,<500 , <500
Chibuto,<500 ,<500 , <1000
Chicualacuala,<100 ,<100 , <100
Chifunde,<100 ,<100 , <100
Chigubo,<100 ,<100 , <100
Chimbunila,<100 ,<100 , <200
Chimoio,<1000 ,<1000 , 1000
Chinde,<500 ,<500 , <500
Chiúre,<1000 ,<500 , <1000
Chiúta,<100 ,<100 , <100
Chongoene,<500 ,<200 , <500
Chókwé,<500 ,<500 , <1000
Cuamba,<500 ,<500 , <1000
Derre,<500 ,<200 , <500
Dondo,<1000 ,<1000 , 1000
Dôa,<100 ,<100 , <100
Eráti,<1000 ,<1000 , 1400
Funhalouro,<100 ,<100 , <200
Gilé,<500 ,<500 , <1000
Gondola,<500 ,<500 , <500
Gorongosa,<500 ,<500 , <1000
Govuro,<200 ,<100 , <200
Guijá,<200 ,<200 , <500
Guro,<200 ,<100 , <200
Guruè,<1000 ,<500 , <1000
Homoíne,<500 ,<200 , <500
Ibo,<100 ,<100 , <100
Ile,<500 ,<500 , <1000
Ilha de Moçambique,<200 ,<100 , <500
Inhambane,<500 ,<200 , <500
Inharrime,<500 ,<200 , <500
Inhassoro,<200 ,<200 , <500
Inhassunge,<500 ,<500 , <500
Jangamo,<200 ,<200 , <500
KaMavota,<1000 ,<500 , <1000
KaMaxakeni,<500 ,<500 , <1000
KaMpfumu,<200 ,<100 , <200
KaMubukwana,<1000 ,<500 , <1000
KaNyaka,<100 ,<100 , <100
KaTembe,<100 ,<100 , <100
Lago,<200 ,<200 , <500
Lalaua,<200 ,<200 , <500
Larde,<500 ,<200 , <500
Lichinga,<1000 ,<500 , <1000
Limpopo,<500 ,<500 , <500
Liúpo,<200 ,<100 , <500
Luabo,<200 ,<200 , <500
Lugela,<500 ,<500 , <1000
Mabalane,<100 ,<100 , <200
Mabote,<200 ,<200 , <200
Macanga,<100 ,<100 , <100
Macate,<200 ,<100 , <200
Machanga,<200 ,<200 , <500
Machaze,<500 ,<200 , <500
Macomia,<500 ,<500 , <1000
Macossa,<100 ,<100 , <200
Maganja da Costa,<1000 ,<500 , <1000
Magude,<500 ,<500 , <1000
Majune,<100 ,<100 , <100
Malema,<500 ,<500 , <1000
Mandimba,<500 ,<500 , <500
Mandlakazi,<500 ,<200 , <500
Manhiça,1100 ,<1000 , 1300
Manica,<500 ,<500 , <1000
Mapai,<100 ,<100 , <100
Marara,<100 ,<100 , <100
Marracuene,1100 ,<1000 , 1500
Marromeu,<1000 ,<500 , <1000
Marrupa,<200 ,<100 , <200
Marávia,<100 ,<100 , <100
Maríngué,<200 ,<200 , <500
Massangena,<100 ,<100 , <100
Massinga,<1000 ,<1000 , <1000
Massingir,<100 ,<100 , <200
Matola,4600 ,3800 , 5400
Matutuíne,<500 ,<500 , <500
Mavago,<100 ,<100 , <100
Maxixe,<500 ,<500 , <500
Maúa,<200 ,<100 , <200
Mecanhelas,<500 ,<500 , <500
