States,2019,2019_lower, 2019_upper
Alto Molócuè,<100 ,<100 , <100
Ancuabe,<100 ,<100 , <100
Angoche,<100 ,<100 , <200
Angónia,<100 ,<100 , <100
Balama,<100 ,<100 , <100
Beira,<100 ,<100 , <100
Bilene,<100 ,<100 , <100
Boane,<100 ,<100 , <100
Báruè,<100 ,<100 , <100
Búzi,<100 ,<100 , <100
Cahora Bassa,<100 ,<100 , <100
Caia,<100 ,<100 , <100
Changara,<100 ,<100 , <100
Chemba,<100 ,<100 , <100
Cheringoma,<100 ,<100 , <100
Chibabava,<100 ,<100 , <100
Chibuto,<100 ,<100 , <100
Chicualacuala,<100 ,<100 , <100
Chifunde,<100 ,<100 , <100
Chigubo,<100 ,<100 , <100
Chimbunila,<100 ,<100 , <100
Chimoio,<100 ,<100 , <100
Chinde,<100 ,<100 , <100
Chiúre,<100 ,<100 , <100
Chiúta,<100 ,<100 , <100
Chongoene,<100 ,<100 , <100
Chókwé,<100 ,<100 , <100
Cuamba,<100 ,<100 , <100
Derre,<100 ,<100 , <100
Dondo,<100 ,<100 , <100
Dôa,<100 ,<100 , <100
Eráti,<100 ,<100 , <200
Funhalouro,<100 ,<100 , <100
Gilé,<100 ,<100 , <100
Gondola,<100 ,<100 , <100
Gorongosa,<100 ,<100 , <100
Govuro,<100 ,<100 , <100
Guijá,<100 ,<100 , <100
Guro,<100 ,<100 , <100
Guruè,<100 ,<100 , <100
Homoíne,<100 ,<100 , <100
Ibo,<100 ,<100 , <100
Ile,<100 ,<100 , <100
Ilha de Moçambique,<100 ,<100 , <100
Inhambane,<100 ,<100 , <100
Inharrime,<100 ,<100 , <100
Inhassoro,<100 ,<100 , <100
Inhassunge,<100 ,<100 , <100
Jangamo,<100 ,<100 , <100
KaMavota,<100 ,<100 , <100
KaMaxakeni,<100 ,<100 , <100
KaMpfumu,<100 ,<100 , <100
KaMubukwana,<100 ,<100 , <100
KaNyaka,<100 ,<100 , <100
KaTembe,<100 ,<100 , <100
Lago,<100 ,<100 , <100
Lalaua,<100 ,<100 , <100
Larde,<100 ,<100 , <100
Lichinga,<100 ,<100 , <100
Limpopo,<100 ,<100 , <100
Liúpo,<100 ,<100 , <100
Luabo,<100 ,<100 , <100
Lugela,<100 ,<100 , <100
Mabalane,<100 ,<100 , <100
Mabote,<100 ,<100 , <100
Macanga,<100 ,<100 , <100
Macate,<100 ,<100 , <100
Machanga,<100 ,<100 , <100
Machaze,<100 ,<100 , <100
Macomia,<100 ,<100 , <100
Macossa,<100 ,<100 , <100
Maganja da Costa,<100 ,<100 , <100
Magude,<100 ,<100 , <100
Majune,<100 ,<100 , <100
Malema,<100 ,<100 , <100
Mandimba,<100 ,<100 , <100
Mandlakazi,<100 ,<100 , <100
Manhiça,<100 ,<100 , <100
Manica,<100 ,<100 , <100
Mapai,<100 ,<100 , <100
Marara,<100 ,<100 , <100
Marracuene,<100 ,<100 , <100
Marromeu,<100 ,<100 , <100
Marrupa,<100 ,<100 , <100
Marávia,<100 ,<100 , <100
Maríngué,<100 ,<100 , <100
Massangena,<100 ,<100 , <100
Massinga,<100 ,<100 , <100
Massingir,<100 ,<100 , <100
Matola,<200 ,<200 , <500
Matutuíne,<100 ,<100 , <100
Mavago,<100 ,<100 , <100
Maxixe,<100 ,<100 , <100
Maúa,<100 ,<100 , <100
Mecanhelas,<100 ,<100 , <100
Meconta,<100 ,<100 , <100
Mecubúri,<100 ,<100 , <100
Mecufi,<100 ,<100 , <100
Mecula,<100 ,<100 , <100
Meluco,<100 ,<100 , <100
Memba,<100 ,<100 , <100
Metarica,<100 ,<100 , <100
Metuge,<100 ,<100 , <100
Milange,<100 ,<100 , <100
Moamba,<100 ,<100 , <100
Moatize,<100 ,<100 , <100
Mocuba,<100 ,<100 , <100
Mocubela,<100 ,<100 , <100
Mocímboa da Praia,<100 ,<100 , <100
Mogincual,<100 ,<100 , <100
Mogovolas,<100 ,<100 , <200
Molumbo,<100 ,<100 , <100
Moma,<100 ,<100 , <200
Monapo,<100 ,<100 , <200
Montepuez,<100 ,<100 , <100
Mopeia,<100 ,<100 , <100
Morrumbala,<100 ,<100 , <100
Morrumbene,<100 ,<100 , <100
Morrupula,<100 ,<100 , <100
Mossuril,<100 ,<100 , <100
Mossurize,<100 ,<100 , <100
Muanza,<100 ,<100 , <100
Muecate,<100 ,<100 , <100
Mueda,<100 ,<100 , <100
Muembe,<100 ,<100 , <100
Muidumbe,<100 ,<100 , <100
Mulevala,<100 ,<100 , <100
Mutarara,<100 ,<100 , <100
Mágoè,<100 ,<100 , <100
Nacala,<100 ,<100 , <200
Nacala-a-Velha,<100 ,<100 , <100
Nacarôa,<100 ,<100 , <100
Namaacha,<100 ,<100 , <100
Namacurra,<100 ,<100 , <100
Namarói,<100 ,<100 , <100
Nampula,<200 ,<100 , <200
Namuno,<100 ,<100 , <100
Nangade,<100 ,<100 , <100
Ngaúma,<100 ,<100 , <100
Nhamatanda,<100 ,<100 , <100
Nhlamankulu,<100 ,<100 , <100
Nicoadala,<100 ,<100 , <100
Nipepe,<100 ,<100 , <100
Palma,<100 ,<100 , <100
Panda,<100 ,<100 , <100
Pebane,<100 ,<100 , <100
Pemba,<100 ,<100 , <100
Quelimane,<100 ,<100 , <100
Quissanga,<100 ,<100 , <100
Rapale,<100 ,<100 , <100
Ribáuè,<100 ,<100 , <100
Sanga,<100 ,<100 , <100
Sussendenga,<100 ,<100 , <100
Tambara,<100 ,<100 , <100
Tete,<100 ,<100 , <100
Tsangano,<100 ,<100 , <100
Vanduzi,<100 ,<100 , <100
Vilankulo,<100 ,<100 , <100
Xai-Xai,<100 ,<100 , <100
Zavala,<100 ,<100 , <100
Zumbu,<100 ,<100 , <100
National,3600 ,1400,7100
