States,2019,2019_lower, 2019_upper
Alto Molócuè,13 000 ,9400 , 17 000
Ancuabe,8400 ,5600 , 12 000
Angoche,13 000 ,8600 , 18 000
Angónia,6100 ,4200 , 8800
Balama,6200 ,4100 , 8900
Beira,76 000 ,67 000 , 85 000
Bilene,20 000 ,17 000 , 23 000
Boane,42 000 ,34 000 , 51 000
Báruè,13 000 ,10 000 , 16 000
Búzi,14 000 ,11 000 , 18 000
Cahora Bassa,4600 ,3200 , 6600
Caia,8000 ,5600 , 11 000
Changara,5300 ,3700 , 7200
Chemba,3800 ,2600 , 5300
Cheringoma,2800 ,1900 , 4200
Chibabava,9400 ,7000 , 12 000
Chibuto,28 000 ,24 000 , 32 000
Chicualacuala,2000 ,1500 , 2700
Chifunde,1400 ,<1000 , 2100
Chigubo,1800 ,1300 , 2300
Chimbunila,1700 ,1100 , 2300
Chimoio,39 000 ,34 000 , 43 000
Chinde,8200 ,5900 , 11 000
Chiúre,14 000 ,11 000 , 18 000
Chiúta,1900 ,1400 , 2700
Chongoene,14 000 ,11 000 , 17 000
Chókwé,33 000 ,29 000 , 37 000
Cuamba,10 000 ,7900 , 13 000
Derre,5000 ,3200 , 7100
Dondo,19 000 ,14 000 , 25 000
Dôa,1800 ,1200 , 2600
Eráti,16 000 ,11 000 , 22 000
Funhalouro,2600 ,1800 , 3500
Gilé,11 000 ,8200 , 14 000
Gondola,12 000 ,9300 , 16 000
Gorongosa,8800 ,6300 , 12 000
Govuro,4000 ,3000 , 5100
Guijá,11 000 ,8300 , 13 000
Guro,4700 ,3300 , 6500
Guruè,15 000 ,11 000 , 20 000
Homoíne,5800 ,4200 , 7700
Ibo,<1000 ,<500 , <1000
Ile,10 000 ,7300 , 13 000
Ilha de Moçambique,2800 ,1700 , 4100
Inhambane,7000 ,5200 , 9300
Inharrime,6800 ,5100 , 8900
Inhassoro,6000 ,4900 , 7100
Inhassunge,11 000 ,8500 , 13 000
Jangamo,4800 ,3400 , 6500
KaMavota,24 000 ,20 000 , 28 000
KaMaxakeni,23 000 ,20 000 , 26 000
KaMpfumu,9000 ,7800 , 10 000
KaMubukwana,24 000 ,20 000 , 28 000
KaNyaka,<500 ,<500 , <500
KaTembe,2400 ,1500 , 3300
Lago,3900 ,2700 , 5400
Lalaua,2800 ,1900 , 4000
Larde,5000 ,3100 , 7500
Lichinga,15 000 ,12 000 , 19 000
Limpopo,18 000 ,16 000 , 21 000
Liúpo,1700 ,1100 , 2700
Luabo,3600 ,2400 , 4900
Lugela,10 000 ,7100 , 14 000
Mabalane,4300 ,3300 , 5400
Mabote,4600 ,3600 , 5800
Macanga,1500 ,<1000 , 2100
Macate,3600 ,2400 , 4900
Machanga,5600 ,4300 , 7200
Machaze,8600 ,6600 , 11 000
Macomia,8500 ,5800 , 12 000
Macossa,1900 ,1300 , 2600
Maganja da Costa,16 000 ,12 000 , 21 000
Magude,12 000 ,9600 , 15 000
Majune,1000 ,<1000 , 1500
Malema,6200 ,4100 , 8700
Mandimba,7000 ,5200 , 9500
Mandlakazi,13 000 ,10 000 , 17 000
Manhiça,42 000 ,36 000 , 48 000
Manica,15 000 ,12 000 , 19 000
Mapai,2900 ,2300 , 3600
Marara,2600 ,1600 , 3900
Marracuene,35 000 ,28 000 , 42 000
Marromeu,14 000 ,11 000 , 18 000
Marrupa,2300 ,1500 , 3100
Marávia,1800 ,1100 , 2500
Maríngué,3200 ,2100 , 4700
Massangena,2000 ,1500 , 2600
Massinga,19 000 ,15 000 , 23 000
Massingir,3700 ,2700 , 4900
Matola,140 000 ,130 000 , 150 000
Matutuíne,9100 ,6900 , 12 000
Mavago,1000 ,<1000 , 1500
Maxixe,11 000 ,8300 , 13 000
Maúa,2500 ,1700 , 3600
Mecanhelas,6500 ,4500 , 9200
Meconta,11 000 ,7400 , 15 000
Mecubúri,5400 ,3700 , 7600
Mecufi,2300 ,1500 , 3300
Mecula,1100 ,<1000 , 1600
Meluco,2400 ,1600 , 3400
