States,2019,2019_lower, 2019_upper
Alto Molócuè,1400 ,1000 , 1900
Ancuabe,1100 ,<1000 , 1500
Angoche,2100 ,1400 , 3100
Angónia,1400 ,<1000 , 2100
Balama,<1000 ,<500 , 1100
Beira,10 000 ,8600 , 12 000
Bilene,2700 ,2200 , 3200
Boane,5600 ,4300 , 7100
Báruè,1900 ,1400 , 2400
Búzi,2600 ,1900 , 3300
Cahora Bassa,1000 ,<1000 , 1500
Caia,1200 ,<1000 , 1700
Changara,1300 ,<1000 , 1800
Chemba,<1000 ,<500 , <1000
Cheringoma,<500 ,<500 , <1000
Chibabava,1600 ,1100 , 2100
Chibuto,4100 ,3400 , 4900
Chicualacuala,<500 ,<200 , <500
Chifunde,<500 ,<200 , <500
Chigubo,<500 ,<500 , <500
Chimbunila,<500 ,<200 , <500
Chimoio,5300 ,4500 , 6100
Chinde,1100 ,<1000 , 1500
Chiúre,1900 ,1400 , 2400
Chiúta,<500 ,<500 , <1000
Chongoene,2100 ,1700 , 2600
Chókwé,4700 ,4000 , 5500
Cuamba,1400 ,1000 , 1800
Derre,<1000 ,<500 , <1000
Dondo,2600 ,1900 , 3600
Dôa,<500 ,<500 , <1000
Eráti,2600 ,1700 , 3700
Funhalouro,<500 ,<500 , <1000
Gilé,1300 ,<1000 , 1700
Gondola,2100 ,1500 , 2800
Gorongosa,1200 ,<1000 , 1600
Govuro,<1000 ,<500 , <1000
Guijá,1500 ,1100 , 1900
Guro,<1000 ,<500 , 1000
Guruè,1500 ,1200 , 2000
Homoíne,<1000 ,<1000 , 1200
Ibo,<100 ,<100 , <200
Ile,1300 ,<1000 , 1700
Ilha de Moçambique,<500 ,<500 , <1000
Inhambane,<1000 ,<1000 , 1000
Inharrime,<1000 ,<1000 , 1200
Inhassoro,<1000 ,<1000 , 1100
Inhassunge,1500 ,1200 , 2000
Jangamo,<1000 ,<500 , <1000
KaMavota,6500 ,5300 , 7900
KaMaxakeni,6900 ,5800 , 8100
KaMpfumu,3600 ,3000 , 4300
KaMubukwana,6000 ,4900 , 7100
KaNyaka,<100 ,<100 , <200
KaTembe,<1000 ,<500 , <1000
Lago,<1000 ,<500 , <1000
Lalaua,<500 ,<500 , <1000
Larde,<1000 ,<500 , 1100
Lichinga,1800 ,1400 , 2300
Limpopo,2600 ,2100 , 3100
Liúpo,<500 ,<200 , <500
Luabo,<500 ,<500 , <1000
Lugela,1300 ,<1000 , 1800
Mabalane,<1000 ,<500 , <1000
Mabote,<1000 ,<1000 , 1000
Macanga,<500 ,<200 , <500
Macate,<1000 ,<500 , <1000
Machanga,1100 ,<1000 , 1500
Machaze,1800 ,1400 , 2300
Macomia,1300 ,<1000 , 1900
Macossa,<500 ,<200 , <500
Maganja da Costa,2300 ,1600 , 3000
Magude,2400 ,1800 , 3000
Majune,<200 ,<100 , <500
Malema,<1000 ,<1000 , 1200
Mandimba,<1000 ,<1000 , 1300
Mandlakazi,2200 ,1700 , 3000
Manhiça,7800 ,6400 , 9300
Manica,2300 ,1800 , 2900
Mapai,<500 ,<500 , <1000
Marara,<1000 ,<500 , 1100
Marracuene,3900 ,3000 , 4900
Marromeu,2200 ,1600 , 2900
Marrupa,<500 ,<500 , <500
Marávia,<500 ,<500 , <1000
Maríngué,<500 ,<500 , <1000
Massangena,<500 ,<200 , <500
Massinga,2700 ,2100 , 3400
Massingir,<500 ,<500 , <1000
Matola,17 000 ,15 000 , 20 000
Matutuíne,1900 ,1300 , 2500
Mavago,<200 ,<100 , <200
Maxixe,1200 ,<1000 , 1600
Maúa,<500 ,<500 , <1000
Mecanhelas,<1000 ,<1000 , 1200
Meconta,1400 ,<1000 , 2000
Mecubúri,<1000 ,<1000 , 1100
Mecufi,<500 ,<500 , <500
Mecula,<200 ,<100 , <500
