States,2019,2019_lower, 2019_upper
Alto Molócuè,5900 ,4000 , 8300
Ancuabe,4100 ,2600 , 5800
Angoche,6400 ,4200 , 9500
Angónia,3100 ,1800 , 5200
Balama,3000 ,1900 , 4400
Beira,34 000 ,30 000 , 40 000
Bilene,9200 ,7100 , 11 000
Boane,20 000 ,15 000 , 25 000
Báruè,6500 ,4600 , 8700
Búzi,7100 ,5200 , 9500
Cahora Bassa,2300 ,1500 , 3400
Caia,4100 ,2800 , 5800
Changara,2300 ,1500 , 3400
Chemba,1800 ,1200 , 2600
Cheringoma,1500 ,<1000 , 2200
Chibabava,4400 ,3000 , 6000
Chibuto,12 000 ,9200 , 14 000
Chicualacuala,1200 ,<1000 , 1700
Chifunde,<1000 ,<500 , 1300
Chigubo,<1000 ,<1000 , 1300
Chimbunila,<1000 ,<1000 , 1400
Chimoio,19 000 ,15 000 , 22 000
Chinde,4200 ,2900 , 5700
Chiúre,6700 ,4900 , 8900
Chiúta,<1000 ,<1000 , 1300
Chongoene,6900 ,5100 , 8800
Chókwé,15 000 ,12 000 , 18 000
Cuamba,4400 ,3200 , 6000
Derre,2600 ,1600 , 3900
Dondo,9400 ,6600 , 13 000
Dôa,<1000 ,<500 , 1300
Eráti,8200 ,5500 , 12 000
Funhalouro,1300 ,<1000 , 1800
Gilé,5300 ,3800 , 7300
Gondola,6100 ,4400 , 8200
Gorongosa,4300 ,2900 , 6000
Govuro,1900 ,1300 , 2600
Guijá,5100 ,3600 , 6600
Guro,2600 ,1700 , 3600
Guruè,7600 ,5400 , 11 000
Homoíne,2500 ,1700 , 3500
Ibo,<500 ,<200 , <1000
Ile,4600 ,3200 , 6200
Ilha de Moçambique,1400 ,<1000 , 2300
Inhambane,3000 ,2000 , 4200
Inharrime,2600 ,1700 , 3600
Inhassoro,3100 ,2400 , 3900
Inhassunge,5400 ,4100 , 7000
Jangamo,2300 ,1500 , 3200
KaMavota,11 000 ,8400 , 15 000
KaMaxakeni,13 000 ,10 000 , 15 000
KaMpfumu,5300 ,4600 , 6000
KaMubukwana,10 000 ,7900 , 13 000
KaNyaka,<200 ,<100 , <500
KaTembe,1200 ,<1000 , 1800
Lago,1900 ,1200 , 2900
Lalaua,1600 ,1000 , 2300
Larde,2500 ,1500 , 4000
Lichinga,7700 ,5600 , 10 000
Limpopo,8500 ,6600 , 11 000
Liúpo,<1000 ,<1000 , 1400
Luabo,1900 ,1200 , 2700
Lugela,4800 ,3300 , 6900
Mabalane,2300 ,1600 , 3000
Mabote,2300 ,1600 , 3000
Macanga,<1000 ,<500 , 1300
Macate,2100 ,1300 , 3000
Machanga,2800 ,2000 , 3900
Machaze,3900 ,2800 , 5100
Macomia,4500 ,2900 , 6600
Macossa,<1000 ,<1000 , 1400
Maganja da Costa,6700 ,4600 , 9100
Magude,5400 ,3900 , 7100
Majune,<1000 ,<500 , <1000
Malema,3400 ,2200 , 4800
Mandimba,3000 ,2100 , 4300
Mandlakazi,5900 ,4100 , 8200
Manhiça,18 000 ,14 000 , 22 000
Manica,7800 ,5600 , 10 000
Mapai,1500 ,1100 , 2000
Marara,1400 ,<1000 , 2100
Marracuene,15 000 ,11 000 , 20 000
Marromeu,7300 ,5100 , 9700
Marrupa,<1000 ,<1000 , 1400
Marávia,<1000 ,<1000 , 1500
Maríngué,1600 ,1000 , 2500
Massangena,<1000 ,<1000 , 1400
Massinga,9200 ,6500 , 12 000
Massingir,2000 ,1300 , 2700
Matola,63 000 ,53 000 , 73 000
Matutuíne,4700 ,3300 , 6500
Mavago,<500 ,<500 , <1000
Maxixe,4200 ,2900 , 5700
Maúa,1200 ,<1000 , 1700
Mecanhelas,3100 ,2000 , 4600
Meconta,5500 ,3600 , 7800
Mecubúri,3000 ,2100 , 4300
Mecufi,1100 ,<1000 , 1600
Mecula,<500 ,<500 , <1000
Meluco,1200 ,<1000 , 1700
Memba,4100 ,2700 , 6200
Metarica,<500 ,<500 , <1000
Metuge,2100 ,1400 , 3100
Milange,12 000 ,8400 , 17 000
Moamba,7300 ,5300 , 9600
Moatize,4100 ,3000 , 5500
Mocuba,15 000 ,12 000 , 19 000
Mocubela,6900 ,4800 , 9500
Mocímboa da Praia,4700 ,3300 , 6400
Mogincual,<1000 ,<1000 , 1500
Mogovolas,6100 ,4000 , 8500
Molumbo,5100 ,3300 , 7500
Moma,8400 ,6000 , 12 000
Monapo,7900 ,5500 , 11 000
Montepuez,6300 ,4300 , 8600
Mopeia,5000 ,3400 , 6900
Morrumbala,9700 ,6900 , 13 000
Morrumbene,3700 ,2500 , 5300
Morrupula,2600 ,1700 , 3900
Mossuril,2700 ,1600 , 4100
Mossurize,3400 ,2400 , 4900
Muanza,<1000 ,<1000 , 1400
Muecate,2500 ,1700 , 3600
Mueda,9100 ,7100 , 11 000
Muembe,<1000 ,<500 , <1000
Muidumbe,6300 ,4500 , 8500
Mulevala,3000 ,2000 , 4100
Mutarara,2100 ,1300 , 2900
Mágoè,1600 ,1000 , 2300
Nacala,9700 ,6800 , 14 000
Nacala-a-Velha,2300 ,1400 , 3400
Nacarôa,2400 ,1600 , 3600
Namaacha,3800 ,2600 , 5200
Namacurra,13 000 ,10 000 , 17 000
Namarói,2300 ,1500 , 3200
Nampula,24 000 ,20 000 , 29 000
Namuno,6300 ,4200 , 9000
Nangade,2600 ,1700 , 3900
Ngaúma,1200 ,<1000 , 1800
Nhamatanda,10 000 ,7400 , 13 000
Nhlamankulu,5700 ,4100 , 7500
Nicoadala,11 000 ,7800 , 14 000
Nipepe,<1000 ,<500 , <1000
Palma,1900 ,1200 , 2900
Panda,1000 ,<1000 , 1400
Pebane,11 000 ,8800 , 14 000
Pemba,7900 ,6200 , 9900
Quelimane,29 000 ,25 000 , 34 000
Quissanga,1100 ,<1000 , 1700
Rapale,2500 ,1600 , 3700
Ribáuè,4400 ,3000 , 6200
